"wavelength","Refrac_leafm","SC_chl","SC_car","SC_Anth","SC_Brwon","SC_Cw","SC_Cm","direct_light","diffuse_light","dry_soil","wet_soil"
400,1.5115,0.0649,0.167,0.0667,0.527,5.8e-05,110,0.591,2.41,0.238,0.0321
401,1.5115,0.0667,0.168,0.0641,0.526,5.85e-05,104,0.598,2.41,0.237,0.032
402,1.5115,0.0686,0.167,0.0619,0.525,5.9e-05,98,0.605,2.41,0.237,0.0318
403,1.5115,0.07,0.167,0.0599,0.524,5.99e-05,92.4,0.612,2.41,0.237,0.0317
404,1.5115,0.0709,0.168,0.0583,0.523,6.1e-05,87.1,0.619,2.41,0.236,0.0315
405,1.5115,0.0713,0.168,0.0567,0.522,6.2e-05,82.3,0.626,2.42,0.236,0.0314
406,1.5108,0.0713,0.168,0.0554,0.521,6.3e-05,78.1,0.633,2.42,0.235,0.0313
407,1.5101,0.0713,0.167,0.0542,0.52,6.4e-05,74,0.64,2.42,0.235,0.0311
408,1.5095,0.0712,0.167,0.0531,0.519,6.5e-05,70.1,0.647,2.42,0.234,0.0309
409,1.5088,0.0712,0.167,0.052,0.518,6.6e-05,66.5,0.654,2.42,0.234,0.0308
410,1.5081,0.0715,0.166,0.051,0.517,6.7e-05,63,0.661,2.42,0.234,0.0306
411,1.5076,0.0719,0.166,0.0501,0.516,6.79e-05,59.5,0.668,2.42,0.233,0.0304
412,1.5071,0.072,0.165,0.0494,0.515,6.9e-05,56.2,0.675,2.42,0.233,0.0303
413,1.5065,0.0718,0.166,0.0486,0.514,7.05e-05,53,0.682,2.42,0.232,0.0301
414,1.506,0.0715,0.166,0.0479,0.513,7.2e-05,50,0.689,2.42,0.232,0.03
415,1.5055,0.0711,0.166,0.0474,0.512,7.31e-05,47.2,0.696,2.42,0.232,0.0298
416,1.505,0.0708,0.166,0.0469,0.511,7.4e-05,44.6,0.703,2.42,0.231,0.0297
417,1.5046,0.0704,0.166,0.0465,0.51,7.49e-05,42.2,0.71,2.42,0.231,0.0296
418,1.5041,0.0701,0.167,0.0462,0.509,7.6e-05,40,0.717,2.42,0.23,0.0295
419,1.5037,0.0698,0.167,0.0458,0.508,7.74e-05,37.8,0.724,2.42,0.23,0.0293
420,1.5032,0.0698,0.167,0.0454,0.507,7.9e-05,35.7,0.731,2.42,0.23,0.0292
