"V1","V2","V3","V4","V5"
0.000163,0,0.0012,0,0
0.000156,0,0.001195,0,0
0.000145,0,0.001187,0,0
0.000133,0,0.001174,0,0
0.000121,0,0.001164,0,0
0.000112,0,0.001154,0,0
0.000105,0,0.001146,0,0
1e-04,0,0.001137,0,0
9.58e-05,0,0.001127,0,0
9.16e-05,0,0.001117,0,0
8.88e-05,0,0.001105,0,0
8.7e-05,0,0.001094,0,0
8.62e-05,0,0.001082,0,0
8.44e-05,0,0.00107,0,0
8.22e-05,0,0.001059,0,0
8.03e-05,0,0.001047,0,0
7.83e-05,0,0.001035,0,0
7.63e-05,0,0.001024,0,0
7.37e-05,0,0.001012,0,0
7.02e-05,0,0.001001,0,0
6.55e-05,0,0.000989,0,0
6.01e-05,0,0.000977,0,0
5.44e-05,0,0.000965,0,0
4.8e-05,0,0.000952,0,0
4.15e-05,0,0.000937,0,0
3.66e-05,0,0.000922,0,0
3.41e-05,0,0.000906,0,0
3.46e-05,0,0.00089,0,0
3.52e-05,0,0.000873,0,0
3.32e-05,0,0.000856,0,0
3.03e-05,0,0.000839,0,0
2.83e-05,0,0.000821,0,0
2.73e-05,0,0.000803,0,0
2.7e-05,0,0.000784,0,0
2.67e-05,0,0.000765,0,0
2.64e-05,0,0.000745,0,0
2.6e-05,0,0.000726,0,0
2.6e-05,0,0.000706,0,0
2.68e-05,0,0.000686,0,0
2.84e-05,0,0.000666,0,0
3.09e-05,0,0.000646,0,0
3.43e-05,0,0.000626,0,0
3.73e-05,0,0.000605,0,0
3.87e-05,0,0.000585,0,0
3.88e-05,0,0.000565,0,0
3.78e-05,0,0.000545,0,0
3.71e-05,0,0.000525,0,0
3.82e-05,0,0.000506,0,0
4.24e-05,0,0.000486,0,0
4.8e-05,0,0.000467,0,0
5.26e-05,0,0.000448,0,0
5.61e-05,0,0.000429,0,0
6.05e-05,0,0.000411,0,0
6.54e-05,0,0.000393,0,0
6.82e-05,0,0.000375,0,0
6.81e-05,0,0.000357,0,0
6.5e-05,0,0.00034,0,0
5.64e-05,0,0.000323,0,0
4.4e-05,0,0.000307,0,0
3.21e-05,0,0.00029,0,0
2.23e-05,0,0.000275,0,0
1.47e-05,0,0.00026,0,0
9.21e-06,0,0.000245,0,0
5.56e-06,0,0.00023,0,0
3.46e-06,0,0.000216,0,0
2.25e-06,0,0.000203,0,0
1.44e-06,0,0.00019,0,0
8.6e-07,0,0.000177,0,0
4.92e-07,0,0.000165,0,0
2.74e-07,0,0.000153,0,0
1.48e-07,0,0.000142,0,0
7.04e-08,0,0.000131,0,0
2.81e-08,0,0.000121,0,0
7.04e-09,0,0.000111,0,0
0,0,0.000102,0,0
0,0,9.26e-05,0,0
0,0,8.41e-05,0,0
0,0,7.61e-05,0,0
0,0,6.85e-05,0,0
0,0,6.13e-05,0,0
0,2.34e-08,5.47e-05,0,0
0,4.66e-08,4.84e-05,0,0
0,4.66e-08,4.26e-05,0,0
0,6.99e-08,3.71e-05,0,0
0,6.99e-08,3.21e-05,0,0
0,6.99e-08,2.75e-05,0,0
0,6.99e-08,2.33e-05,0,0
0,9.31e-08,1.95e-05,0,0
0,9.31e-08,1.61e-05,0,0
0,9.31e-08,1.3e-05,0,0
0,9.31e-08,1.03e-05,0,0
0,9.31e-08,7.91e-06,0,0
0,9.31e-08,5.87e-06,0,0
0,1.16e-07,4.16e-06,0,0
0,1.16e-07,2.76e-06,0,0
0,1.16e-07,1.65e-06,0,0
0,1.4e-07,8.39e-07,0,0
0,1.4e-07,3.01e-07,0,0
0,1.4e-07,2.53e-08,0,0
0,1.63e-07,0,0,0
0,1.63e-07,0,0,0
0,1.86e-07,0,0,0
0,1.86e-07,0,0,0
0,2.1e-07,0,0,0
0,2.56e-07,0,0,0
0,3.49e-07,0,0,0
0,4.42e-07,0,0,0
0,5.82e-07,0,0,0
0,7.23e-07,0,0,0
0,8.39e-07,0,0,0
0,9.31e-07,0,0,0
0,9.8e-07,0,0,0
0,1.05e-06,0,0,0
0,1.05e-06,0,0,0
0,1.07e-06,0,0,0
0,1.07e-06,0,0,0
0,1e-06,0,0,0
0,9.57e-07,0,0,0
0,9.31e-07,0,0,0
0,8.86e-07,0,0,0
0,8.39e-07,0,0,0
0,7.68e-07,0,0,0
0,6.99e-07,0,0,0
0,5.82e-07,0,0,0
0,4.66e-07,0,0,0
0,4.42e-07,0,0,0
0,4.42e-07,0,0,0
0,3.97e-07,0,0,0
0,3.73e-07,0,0,0
0,3.49e-07,0,0,0
0,3.49e-07,0,0,0
0,3.26e-07,0,0,0
0,3.03e-07,0,0,0
0,3.03e-07,0,0,0
0,3.03e-07,0,0,0
0,3.26e-07,0,0,0
0,3.26e-07,0,0,0
0,3.49e-07,0,0,0
0,3.73e-07,0,0,0
0,4.19e-07,0,0,0
0,4.66e-07,0,0,0
0,5.36e-07,0,0,0
0,6.29e-07,0,2.08e-08,0
0,7.45e-07,0,8.61e-08,0
0,8.64e-07,0,1.22e-07,0
0,1.05e-06,0,1.88e-07,0
0,1.23e-06,0,2.51e-07,0
0,1.5e-06,0,3.55e-07,0
0,1.73e-06,0,4.12e-07,0
0,2.25e-06,0,4.21e-07,0
0,2.7e-06,0,5.27e-07,0
0,3.06e-06,0,6.65e-07,0
0,3.16e-06,0,8.26e-07,0
0,3.32e-06,0,1.02e-06,0
0,3.36e-06,0,1.15e-06,0
0,3.36e-06,0,1.29e-06,0
0,3.4e-06,0,1.5e-06,0
0,3.49e-06,0,1.78e-06,0
0,3.54e-06,0,1.9e-06,0
0,3.52e-06,0,2.02e-06,0
0,3.52e-06,0,2.08e-06,0
0,3.52e-06,0,2e-06,0
0,3.45e-06,0,1.86e-06,0
