"sensor","channel","center","fwhm"
"EnMAP",1,423.03,6.9259
"EnMAP",1,428.8,6.5847
"EnMAP",1,434.29,6.3431
"EnMAP",1,439.58,6.1671
"EnMAP",1,444.72,6.0362
"EnMAP",1,449.75,5.9389
"EnMAP",1,454.7,5.8676
"EnMAP",1,459.59,5.8161
"EnMAP",1,464.43,5.7808
"EnMAP",1,469.25,5.7588
"EnMAP",1,474.05,5.7481
"EnMAP",1,478.84,5.7465
"EnMAP",1,483.63,5.7533
"EnMAP",1,488.42,5.7673
"EnMAP",1,493.23,5.7875
"EnMAP",1,498.05,5.8134
"EnMAP",1,502.9,5.8445
"EnMAP",1,507.77,5.8802
"EnMAP",1,512.67,5.9197
"EnMAP",1,517.6,5.9635
"EnMAP",1,522.57,6.0107
"EnMAP",1,527.58,6.0613
"EnMAP",1,532.63,6.1147
"EnMAP",1,537.72,6.1713
"EnMAP",1,542.87,6.2306
"EnMAP",1,548.06,6.2925
"EnMAP",1,553.3,6.3565
"EnMAP",1,558.6,6.4224
"EnMAP",1,563.95,6.4916
"EnMAP",1,569.36,6.5615
"EnMAP",1,574.83,6.6337
"EnMAP",1,580.36,6.7075
"EnMAP",1,585.95,6.7834
"EnMAP",1,591.6,6.8599
"EnMAP",1,597.32,6.9383
"EnMAP",1,603.1,7.0175
"EnMAP",1,608.95,7.0985
"EnMAP",1,614.86,7.1797
"EnMAP",1,620.84,7.262
"EnMAP",1,626.9,7.345
"EnMAP",1,633.02,7.4291
"EnMAP",1,639.21,7.5128
"EnMAP",1,645.47,7.597
"EnMAP",1,651.8,7.6817
"EnMAP",1,658.2,7.766
"EnMAP",1,664.67,7.8505
"EnMAP",1,671.21,7.9348
"EnMAP",1,677.83,8.0185
"EnMAP",1,684.51,8.1017
"EnMAP",1,691.26,8.184099
"EnMAP",1,698.08,8.265901
"EnMAP",1,704.97,8.3469
"EnMAP",1,711.92,8.4263
"EnMAP",1,718.95,8.5051
"EnMAP",1,726.03,8.5819
"EnMAP",1,733.19,8.657599
"EnMAP",1,740.4,8.7314
"EnMAP",1,747.68,8.8037
"EnMAP",1,755.01,8.8741
"EnMAP",1,762.41,8.9422
"EnMAP",1,769.86,9.0087
"EnMAP",1,777.37,9.0727
"EnMAP",1,784.93,9.1347
"EnMAP",1,792.54,9.1942
"EnMAP",1,800.2,9.2512
"EnMAP",1,807.91,9.3062
"EnMAP",1,815.67,9.3581
"EnMAP",1,823.46,9.408
"EnMAP",1,831.3,9.4548
"EnMAP",1,839.18,9.4991
"EnMAP",1,847.1,9.5408
"EnMAP",1,855.05,9.5798
"EnMAP",1,863.03,9.616199
"EnMAP",1,871.05,9.649699
"EnMAP",1,879.09,9.680699
"EnMAP",1,887.16,9.7091
"EnMAP",1,895.25,9.7351
"EnMAP",1,903.36,9.757899
"EnMAP",1,911.4901,9.7786
"EnMAP",1,919.64,9.7969
"EnMAP",1,927.8,9.8124
"EnMAP",1,935.98,9.825601
"EnMAP",1,944.17,9.8364
"EnMAP",1,952.37,9.844999
"EnMAP",1,960.57,9.851501
"EnMAP",1,968.78,9.8554
"EnMAP",1,976.99,9.857901
"EnMAP",1,985.21,9.8575
"EnMAP",1,904.78,11.592
"EnMAP",1,914.44,11.755
"EnMAP",1,924.23,11.917
"EnMAP",1,934.16,12.075001
"EnMAP",1,944.23,12.23
"EnMAP",1,954.42,12.38
"EnMAP",1,964.74,12.527
"EnMAP",1,975.17,12.669
"EnMAP",1,985.73,12.807
"EnMAP",1,996.4,12.938999
"EnMAP",1,1007.2,13.066999
"EnMAP",1,1018.1,13.190001
"EnMAP",1,1029.1,13.306001
"EnMAP",1,1040.2,13.417
"EnMAP",1,1051.3,13.522
"EnMAP",1,1062.6,13.622
"EnMAP",1,1074,13.715
"EnMAP",1,1085.4,13.802
"EnMAP",1,1096.9,13.882
"EnMAP",1,1108.5,13.957001
"EnMAP",1,1120.1,14.026
"EnMAP",1,1131.8,14.088
"EnMAP",1,1143.5,14.145
"EnMAP",1,1155.3,14.195
"EnMAP",1,1167.1,14.240001
"EnMAP",1,1179,14.279
"EnMAP",1,1190.9,14.312
"EnMAP",1,1202.8,14.34
"EnMAP",1,1214.8,14.362
"EnMAP",1,1226.7,14.379999
"EnMAP",1,1238.7001,14.393
"EnMAP",1,1250.7,14.4
"EnMAP",1,1262.7,14.403999
"EnMAP",1,1274.7001,14.402
"EnMAP",1,1286.7,14.397
"EnMAP",1,1298.7,14.388
"EnMAP",1,1310.7001,14.375
"EnMAP",1,1322.7001,14.358
"EnMAP",1,1334.7,14.337001
"EnMAP",1,1346.6001,14.315
"EnMAP",1,1358.5,14.288
"EnMAP",1,1370.3999,14.259001
"EnMAP",1,1382.3,14.227
"EnMAP",1,1394.2,14.192
"EnMAP",1,1406,14.156
"EnMAP",1,1417.7999,14.117
"EnMAP",1,1429.6,14.076
"EnMAP",1,1441.3,14.033
"EnMAP",1,1453,13.988
"EnMAP",1,1464.6,13.942
"EnMAP",1,1476.3,13.894
"EnMAP",1,1487.8,13.845
"EnMAP",1,1499.4,13.794999
"EnMAP",1,1510.9,13.743
"EnMAP",1,1522.3,13.690001
"EnMAP",1,1533.7,13.637
"EnMAP",1,1545.1,13.582
"EnMAP",1,1556.3999,13.528
"EnMAP",1,1567.7001,13.472
"EnMAP",1,1578.9,13.415
"EnMAP",1,1590.1001,13.359
"EnMAP",1,1601.2,13.301
"EnMAP",1,1612.3,13.243
"EnMAP",1,1623.2999,13.186
"EnMAP",1,1634.3,13.127
"EnMAP",1,1645.3,13.069
"EnMAP",1,1656.2001,13.01
"EnMAP",1,1667,12.950999
"EnMAP",1,1677.8,12.892
"EnMAP",1,1688.5,12.833
"EnMAP",1,1699.2001,12.775001
"EnMAP",1,1709.9,12.715
"EnMAP",1,1720.5,12.657
"EnMAP",1,1731,12.598
"EnMAP",1,1741.5,12.54
"EnMAP",1,1752,12.481
"EnMAP",1,1762.4,12.423
"EnMAP",1,1772.7,12.365001
"EnMAP",1,1783,12.307
"EnMAP",1,1793.3,12.249001
"EnMAP",1,1803.5,12.191999
"EnMAP",1,1813.7,12.135
"EnMAP",1,1823.7999,12.078
"EnMAP",1,1833.7999,12.021999
"EnMAP",1,1843.9,11.965
"EnMAP",1,1853.8,11.908999
"EnMAP",1,1863.7001,11.854
"EnMAP",1,1873.6,11.799
"EnMAP",1,1883.5,11.744
"EnMAP",1,1893.2001,11.689
"EnMAP",1,1903,11.635
"EnMAP",1,1912.7001,11.581
"EnMAP",1,1922.2999,11.528
"EnMAP",1,1931.9,11.474999
"EnMAP",1,1941.5,11.422
"EnMAP",1,1951,11.370001
"EnMAP",1,1960.5,11.318
"EnMAP",1,1969.9,11.267
"EnMAP",1,1979.3,11.216
"EnMAP",1,1988.7001,11.165
"EnMAP",1,1998,11.114
"EnMAP",1,2007.2,11.065
"EnMAP",1,2016.4001,11.014999
"EnMAP",1,2025.6,10.966001
"EnMAP",1,2034.8,10.917
"EnMAP",1,2043.9,10.869
"EnMAP",1,2052.9001,10.821
"EnMAP",1,2061.8999,10.773001
"EnMAP",1,2070.8999,10.726
"EnMAP",1,2079.9001,10.679
"EnMAP",1,2088.8,10.632
"EnMAP",1,2097.6001,10.586
"EnMAP",1,2106.3999,10.541
"EnMAP",1,2115.2,10.495
"EnMAP",1,2124,10.45
"EnMAP",1,2132.7,10.405001
"EnMAP",1,2141.3,10.361
"EnMAP",1,2150,10.316999
"EnMAP",1,2158.6001,10.273999
"EnMAP",1,2167.0999,10.231
"EnMAP",1,2175.7,10.188001
"EnMAP",1,2184.2,10.146001
"EnMAP",1,2192.6001,10.104
"EnMAP",1,2201,10.061
"EnMAP",1,2209.3999,10.02
"EnMAP",1,2217.7998,9.9793
"EnMAP",1,2226.0999,9.9384
"EnMAP",1,2234.4001,9.8979
"EnMAP",1,2242.5999,9.857901
"EnMAP",1,2250.7998,9.818299
"EnMAP",1,2259,9.7787
