"wl","fwhm","qb"
406.9934,11.352248,1
415.839,10.377187,1
423.78476,9.750846,1
431.3347,9.332583,1
438.6569,9.22605,1
446.0147,9.195631,0
453.38947,9.123976,0
460.73175,9.059169,0
468.09842,8.920167,0
475.31885,8.914632,0
482.54816,8.908112,0
489.79486,9.007447,0
497.05865,9.206349,0
504.51172,9.2927,0
512.0464,9.366909,0
519.54376,9.507074,0
527.3053,9.641453,0
535.05255,9.669557,0
542.88513,9.795126,0
550.9146,10.017526,0
559.02026,10.059797,0
567.2061,10.173916,0
575.4868,10.31268,0
583.8441,10.395864,0
592.339,10.554132,0
601.0144,10.826656,0
609.9582,10.924109,0
618.72,11.071507,0
627.77844,11.219973,0
636.6763,11.142748,0
645.9638,11.548293,0
655.41876,11.6332,0
664.8941,11.71825,0
674.46436,11.838511,0
684.13727,11.979173,0
694.12836,12.036037,0
703.737,11.982176,0
713.72687,12.482482,0
723.87994,12.349199,0
733.9552,12.419001,0
744.14954,12.564529,0
754.4696,12.627702,0
764.85645,12.805029,0
775.2735,12.744262,0
785.65955,12.764132,0
796.127,12.854497,0
806.71106,12.948172,0
817.31104,12.956257,0
827.9195,12.987681,0
838.5272,13.008858,0
849.20996,13.088384,0
859.97314,13.1459,0
870.74255,13.171485,0
881.45605,13.043188,0
892.08093,13.106065,0
902.80164,13.110408,0
913.44507,13.066294,0
923.9502,12.880766,0
934.11206,12.754054,0
944.6273,13.277605,0
956.2715,13.463784,0
967.0267,12.94441,0
977.3654,12.912796,0
943.3579,10.941308,0
951.4014,11.012961,0
959.974,12.200682,0
969.8449,12.150509,0
979.224,12.132591,0
988.9179,12.284694,0
998.9082,12.670556,0
1008.6443,12.45165,0
1018.5357,12.974532,0
1029.344,12.956487,0
1037.9878,13.562425,0
1047.675,13.63141,0
1057.5737,13.820859,0
1067.7948,14.045175,0
1078.2161,14.162271,0
1088.761,14.285313,0
1099.2776,14.238944,0
1109.8894,14.608084,0
1120.6759,14.186169,0
1131.3048,14.544166,0
1142.0703,14.336425,0
1152.6501,14.474231,0
1163.676,14.861722,0
1174.7142,14.459894,0
1185.5884,14.564523,0
1196.3394,14.469394,0
1207.2737,14.744387,0
1217.8635,14.600766,0
1229.1852,14.889258,0
1240.2145,14.525333,0
1250.9799,14.982994,0
1262.5322,15.112422,0
1273.4963,14.747745,0
1284.4878,14.70724,0
1295.4218,14.624428,0
1306.218,14.654754,0
1317.2566,14.736323,0
1328.2993,14.81003,1
1339.1294,14.649706,1
1349.7877,14.764565,1
1361.0531,15.282331,1
1372.9117,14.689589,1
1383.2798,15.155503,1
1394.754,14.524817,1
1405.6268,14.591482,1
1416.5374,14.512181,1
1427.3748,14.242912,1
1438.466,14.879127,1
1449.1888,13.979053,1
1459.3157,13.882325,1
1469.9308,14.446271,1
1480.8422,14.351084,1
1491.4292,14.191098,1
1502.0236,14.328162,0
1512.6333,14.153311,0
1523.2222,14.088943,0
1533.7764,14.102928,0
1544.2262,13.93796,0
1554.8168,14.149272,0
1565.3688,13.998267,0
1575.6274,13.812715,0
1585.8597,13.9294,0
1596.2454,13.901287,0
1606.4913,13.760132,0
1616.8336,14.02094,0
1627.021,13.667403,0
1637.0919,13.571676,0
1647.2316,13.395136,0
1656.933,12.858176,0
1667.185,13.464234,0
1677.3193,12.994865,0
1687.4269,13.046627,0
1697.2943,13.226784,0
1707.0945,13.25414,0
1716.8589,13.020383,0
1726.6516,12.810986,0
1736.4883,12.835281,0
1746.2192,12.975467,0
1755.833,13.077787,1
1765.5127,12.713408,1
1775.1178,12.474877,1
1784.7173,12.595072,1
1793.9531,12.728243,1
1803.5902,12.548141,1
1813.0514,12.371736,1
1822.4413,13.079377,1
1832.0272,12.488643,1
1841.3256,12.584005,1
1850.5543,12.621728,1
1859.5587,12.361816,1
1868.1732,11.465725,1
1878.7426,12.567369,1
1887.081,11.774035,1
1896.0913,11.635777,1
