ID,Name,K,a,psi
1,685-Lebna 18,47.08,11.59,181.50
2,724-Lebna 57,46.61,48.81,384.19
3,730-Lebna 63,55.95,8.05,149.82
4,Alumine G-E5,60.67,15.56,387.59
5,Argile POC2 ,45.18,9.84,335.00
6,Bauxite G-E6,28.51,1.31,200.58
7,Calcosol 19d2,55.36,27.41,476.84
8,Carbonate TH-E12,79.20,3.86,206.88
9,Colluviosol 26d1,52.80,7.80,201.54
10,Gypse blanc TH-E1,72.70,9.31,84.50
11,Gypse rouge TH-E2,52.45,8.74,1358.14
12,Hymed-Fr 7,60.17,2.88,134.40
13,Hymed-Fr 34,60.94,3.53,158.82
14,Hymed-Fr 95,50.24,12.07,295.90
15,Hymed-Fr 147,40.97,7.78,193.63
16,Luvisol 208TE,41.51,8.17,213.81
17,Sable blanc POC1,19.11,8.60,63.89
