ID,Wvl,R
1,400,0.0427
1,401,0.0422
1,402,0.0458
1,403,0.0427
1,404,0.0435
1,405,0.0453
1,406,0.0454
1,407,0.0494
1,408,0.0457
1,409,0.0418
1,410,0.0493
1,411,0.0495
1,412,0.0470
1,413,0.0461
1,414,0.0481
1,415,0.0513
1,416,0.0542
1,417,0.0556
1,418,0.0568
1,419,0.0592
1,420,0.0605
1,421,0.0572
1,422,0.0601
1,423,0.0605
1,424,0.0561
1,425,0.0597
1,426,0.0627
1,427,0.0626
1,428,0.0604
1,429,0.0669
1,430,0.0665
1,431,0.0614
1,432,0.0695
1,433,0.0705
1,434,0.0668
1,435,0.0644
1,436,0.0663
1,437,0.0703
1,438,0.0726
1,439,0.0704
1,440,0.0721
1,441,0.0737
1,442,0.0736
1,443,0.0748
1,444,0.0767
1,445,0.0767
1,446,0.0741
1,447,0.0761
1,448,0.0773
1,449,0.0778
1,450,0.0815
1,451,0.0816
1,452,0.0806
1,453,0.0807
1,454,0.0802
1,455,0.0803
1,456,0.0808
1,457,0.0812
1,458,0.0831
1,459,0.0835
1,460,0.0823
1,461,0.0836
1,462,0.0835
1,463,0.0830
1,464,0.0835
1,465,0.0828
1,466,0.0830
1,467,0.0842
1,468,0.0855
1,469,0.0843
1,470,0.0835
1,471,0.0845
1,472,0.0846
1,473,0.0852
1,474,0.0864
1,475,0.0874
1,476,0.0875
1,477,0.0867
1,478,0.0862
1,479,0.0884
1,480,0.0883
1,481,0.0876
1,482,0.0884
1,483,0.0898
1,484,0.0902
1,485,0.0901
1,486,0.0912
1,487,0.0932
1,488,0.0934
1,489,0.0921
1,490,0.0947
1,491,0.0961
1,492,0.0960
1,493,0.0955
1,494,0.0972
1,495,0.0982
1,496,0.0985
1,497,0.1001
1,498,0.1018
1,499,0.1034
1,500,0.1047
1,501,0.1043
1,502,0.1040
1,503,0.1054
1,504,0.1089
1,505,0.1087
1,506,0.1094
1,507,0.1123
1,508,0.1124
1,509,0.1119
1,510,0.1118
1,511,0.1125
1,512,0.1153
1,513,0.1174
1,514,0.1182
1,515,0.1188
1,516,0.1204
1,517,0.1218
1,518,0.1225
1,519,0.1238
1,520,0.1252
1,521,0.1267
1,522,0.1281
1,523,0.1283
1,524,0.1294
1,525,0.1319
1,526,0.1337
1,527,0.1343
1,528,0.1351
1,529,0.1372
1,530,0.1378
1,531,0.1389
1,532,0.1407
1,533,0.1418
1,534,0.1431
1,535,0.1448
1,536,0.1464
1,537,0.1476
1,538,0.1487
1,539,0.1497
1,540,0.1510
1,541,0.1526
1,542,0.1538
1,543,0.1546
1,544,0.1561
1,545,0.1575
1,546,0.1589
1,547,0.1606
1,548,0.1616
1,549,0.1628
1,550,0.1642
1,551,0.1646
1,552,0.1655
1,553,0.1668
1,554,0.1681
1,555,0.1693
1,556,0.1708
1,557,0.1721
1,558,0.1723
1,559,0.1738
1,560,0.1751
1,561,0.1757
1,562,0.1768
1,563,0.1779
1,564,0.1791
1,565,0.1803
1,566,0.1810
1,567,0.1815
1,568,0.1821
1,569,0.1828
1,570,0.1839
1,571,0.1852
1,572,0.1865
1,573,0.1866
1,574,0.1871
1,575,0.1882
1,576,0.1891
1,577,0.1902
1,578,0.1907
1,579,0.1907
1,580,0.1915
1,581,0.1922
1,582,0.1927
1,583,0.1931
1,584,0.1929
1,585,0.1934
1,586,0.1946
1,587,0.1954
1,588,0.1960
1,589,0.1964
1,590,0.1967
1,591,0.1974
1,592,0.1983
1,593,0.1989
1,594,0.1987
1,595,0.1991
1,596,0.1996
1,597,0.2001
1,598,0.2007
1,599,0.2004
1,600,0.2006
1,601,0.2019
1,602,0.2020
1,603,0.2021
1,604,0.2023
1,605,0.2026
1,606,0.2036
1,607,0.2043
1,608,0.2043
1,609,0.2043
1,610,0.2046
1,611,0.2053
1,612,0.2061
1,613,0.2061
1,614,0.2060
1,615,0.2066
1,616,0.2074
1,617,0.2079
1,618,0.2080
1,619,0.2079
1,620,0.2080
1,621,0.2083
1,622,0.2088
1,623,0.2095
1,624,0.2098
1,625,0.2098
1,626,0.2099
1,627,0.2108
1,628,0.2117
1,629,0.2123
1,630,0.2126
1,631,0.2121
1,632,0.2123
1,633,0.2131
1,634,0.2139
1,635,0.2140
1,636,0.2141
1,637,0.2146
1,638,0.2150
1,639,0.2153
1,640,0.2159
1,641,0.2169
1,642,0.2169
1,643,0.2171
1,644,0.2179
1,645,0.2181
1,646,0.2185
1,647,0.2192
1,648,0.2198
1,649,0.2201
1,650,0.2204
1,651,0.2208
1,652,0.2212
1,653,0.2218
1,654,0.2223
1,655,0.2227
1,656,0.2233
1,657,0.2237
1,658,0.2241
1,659,0.2248
1,660,0.2257
1,661,0.2261
1,662,0.2261
1,663,0.2268
1,664,0.2275
1,665,0.2282
1,666,0.2288
1,667,0.2295
1,668,0.2298
1,669,0.2302
1,670,0.2310
1,671,0.2316
1,672,0.2325
1,673,0.2333
1,674,0.2334
1,675,0.2337
1,676,0.2342
1,677,0.2350
1,678,0.2353
1,679,0.2361
1,680,0.2370
1,681,0.2376
1,682,0.2381
1,683,0.2385
1,684,0.2391
1,685,0.2405
1,686,0.2410
1,687,0.2411
1,688,0.2415
1,689,0.2426
1,690,0.2433
1,691,0.2437
1,692,0.2443
1,693,0.2447
1,694,0.2453
1,695,0.2463
1,696,0.2470
1,697,0.2475
1,698,0.2480
1,699,0.2488
1,700,0.2495
1,701,0.2501
1,702,0.2508
1,703,0.2515
1,704,0.2518
1,705,0.2524
1,706,0.2533
1,707,0.2536
1,708,0.2543
1,709,0.2552
1,710,0.2559
1,711,0.2563
1,712,0.2570
1,713,0.2579
1,714,0.2586
1,715,0.2595
1,716,0.2602
1,717,0.2607
1,718,0.2612
1,719,0.2617
1,720,0.2625
1,721,0.2635
1,722,0.2639
1,723,0.2644
1,724,0.2650
1,725,0.2654
1,726,0.2664
1,727,0.2674
1,728,0.2680
1,729,0.2684
1,730,0.2689
1,731,0.2696
1,732,0.2704
1,733,0.2709
1,734,0.2714
1,735,0.2719
1,736,0.2724
1,737,0.2734
1,738,0.2742
1,739,0.2748
1,740,0.2752
1,741,0.2759
1,742,0.2763
1,743,0.2767
1,744,0.2781
1,745,0.2787
1,746,0.2788
1,747,0.2792
1,748,0.2799
1,749,0.2807
1,750,0.2813
1,751,0.2816
1,752,0.2819
1,753,0.2823
1,754,0.2831
1,755,0.2843
1,756,0.2847
1,757,0.2849
1,758,0.2855
1,759,0.2863
1,760,0.2869
1,761,0.2873
1,762,0.2876
1,763,0.2881
1,764,0.2889
1,765,0.2895
1,766,0.2897
1,767,0.2903
1,768,0.2908
1,769,0.2910
1,770,0.2915
1,771,0.2923
1,772,0.2930
1,773,0.2933
1,774,0.2939
1,775,0.2945
1,776,0.2948
1,777,0.2947
1,778,0.2953
1,779,0.2958
1,780,0.2960
1,781,0.2967
1,782,0.2969
1,783,0.2971
1,784,0.2977
1,785,0.2983
1,786,0.2988
