Wvl,n,alpha
400.0,1.349779,5.8e-05
401.0,1.349642,5.9e-05
402.0,1.349506,5.9e-05
403.0,1.349373,6e-05
404.0,1.349239,6.1e-05
405.0,1.349106,6.2e-05
406.0,1.348972,6.3e-05
407.0,1.348838,6.4e-05
408.0,1.348705,6.5e-05
409.0,1.348573,6.6e-05
410.0,1.348443,6.7e-05
411.0,1.348314,6.8e-05
412.0,1.348187,6.9e-05
413.0,1.348061,7e-05
414.0,1.347936,7.2e-05
415.0,1.347811,7.3e-05
416.0,1.347687,7.4e-05
417.0,1.347563,7.5e-05
418.0,1.34744,7.6e-05
419.0,1.347317,7.7e-05
420.0,1.347195,7.9e-05
421.0,1.347072,8.1e-05
422.0,1.34695,8.2e-05
423.0,1.346828,8.3e-05
424.0,1.346708,8.4e-05
425.0,1.346589,8.6e-05
426.0,1.346471,8.7e-05
427.0,1.346354,8.8e-05
428.0,1.346238,8.9e-05
429.0,1.346123,9.1e-05
430.0,1.346009,9.2e-05
431.0,1.345896,9.3e-05
432.0,1.345783,9.4e-05
433.0,1.345672,9.5e-05
434.0,1.345561,9.7e-05
435.0,1.34545,9.8e-05
436.0,1.345339,9.9e-05
437.0,1.345228,0.0001
438.0,1.345119,0.000102
439.0,1.34501,0.000103
440.0,1.344902,0.000104
441.0,1.344796,0.000105
442.0,1.34469,0.000106
443.0,1.344585,0.000107
444.0,1.34448,0.000108
445.0,1.344377,0.000109
446.0,1.344274,0.00011
447.0,1.344172,0.000111
448.0,1.344071,0.000112
449.0,1.34397,0.000113
450.0,1.343869,0.000114
451.0,1.343768,0.000115
452.0,1.343667,0.000116
453.0,1.343566,0.000117
454.0,1.343467,0.000118
455.0,1.343368,0.000119
456.0,1.34327,0.00012
457.0,1.343174,0.000121
458.0,1.343078,0.000122
459.0,1.342983,0.000123
460.0,1.342887,0.000124
461.0,1.342791,0.000125
462.0,1.342694,0.000126
463.0,1.342597,0.000127
464.0,1.342502,0.000128
465.0,1.342408,0.000129
466.0,1.342316,0.00013
467.0,1.342224,0.000132
468.0,1.342133,0.000133
469.0,1.342043,0.000134
470.0,1.341952,0.000135
471.0,1.341861,0.000136
472.0,1.341771,0.000138
473.0,1.34168,0.00014
474.0,1.341591,0.000141
475.0,1.341502,0.000142
476.0,1.341413,0.000144
477.0,1.341326,0.000146
478.0,1.341239,0.000148
479.0,1.341153,0.00015
480.0,1.341067,0.000152
481.0,1.340982,0.000154
482.0,1.340897,0.000157
483.0,1.340813,0.00016
484.0,1.340729,0.000162
485.0,1.340645,0.000164
486.0,1.340562,0.000167
487.0,1.340478,0.00017
488.0,1.340396,0.000174
489.0,1.340313,0.000177
490.0,1.340232,0.000181
491.0,1.340151,0.000185
492.0,1.340071,0.000189
493.0,1.339991,0.000193
494.0,1.339911,0.000198
495.0,1.339831,0.000203
496.0,1.339751,0.000209
497.0,1.33967,0.000216
498.0,1.339589,0.000223
499.0,1.339509,0.00023
500.0,1.33943,0.000238
501.0,1.339353,0.000246
502.0,1.339277,0.000255
503.0,1.339201,0.000264
504.0,1.339126,0.000273
505.0,1.33905,0.000282
506.0,1.338974,0.000291
507.0,1.338899,0.0003
508.0,1.338823,0.00031
509.0,1.338748,0.000319
510.0,1.338672,0.000329
511.0,1.338598,0.000339
512.0,1.338523,0.000349
513.0,1.338449,0.000359
514.0,1.338376,0.000368
515.0,1.338303,0.000377
516.0,1.33823,0.000386
517.0,1.338158,0.000396
518.0,1.338086,0.000404
519.0,1.338015,0.000407
520.0,1.337944,0.000409
521.0,1.337873,0.000414
522.0,1.337803,0.000416
523.0,1.337732,0.000411
524.0,1.337663,0.000409
525.0,1.337593,0.000418
526.0,1.337524,0.000427
527.0,1.337456,0.000427
528.0,1.337388,0.000423
529.0,1.33732,0.000424
530.0,1.337253,0.000429
531.0,1.337185,0.000437
532.0,1.337118,0.000445
533.0,1.33705,0.000451
534.0,1.336983,0.000456
535.0,1.336916,0.000463
536.0,1.336849,0.00047
537.0,1.336782,0.000475
538.0,1.336714,0.00048
539.0,1.336648,0.000488
540.0,1.336582,0.000495
541.0,1.336517,0.000498
542.0,1.336453,0.000503
543.0,1.336388,0.000514
544.0,1.336324,0.000527
545.0,1.33626,0.000536
546.0,1.336195,0.000544
547.0,1.336131,0.000553
548.0,1.336067,0.000564
549.0,1.336004,0.000576
550.0,1.335941,0.000588
551.0,1.335878,0.0006
552.0,1.335816,0.000611
553.0,1.335754,0.000622
554.0,1.335693,0.000631
555.0,1.335632,0.000639
556.0,1.335571,0.000646
557.0,1.335512,0.000652
558.0,1.335452,0.000658
559.0,1.335392,0.000665
560.0,1.335332,0.000672
561.0,1.335271,0.000679
562.0,1.33521,0.000686
563.0,1.335149,0.000692
564.0,1.335089,0.000699
565.0,1.335029,0.000708
566.0,1.334971,0.000718
567.0,1.334913,0.000726
568.0,1.334856,0.000734
569.0,1.334798,0.000745
570.0,1.334741,0.000759
571.0,1.334682,0.000773
572.0,1.334624,0.000787
573.0,1.334565,0.000802
574.0,1.334506,0.000819
575.0,1.334448,0.000839
576.0,1.334391,0.000858
577.0,1.334334,0.000875
578.0,1.334278,0.000896
579.0,1.334222,0.000924
580.0,1.334167,0.000952
581.0,1.334111,0.000975
582.0,1.334056,0.001
583.0,1.334001,0.001037
584.0,1.333946,0.001079
585.0,1.333891,0.001119
586.0,1.333836,0.001159
587.0,1.333782,0.001204
588.0,1.333728,0.001253
589.0,1.333674,0.001304
590.0,1.33362,0.001356
591.0,1.333566,0.001408
592.0,1.333513,0.001459
593.0,1.333459,0.00151
594.0,1.333406,0.001567
595.0,1.333353,0.001635
596.0,1.3333,0.0017
597.0,1.333247,0.001758
598.0,1.333195,0.00186
599.0,1.333142,0.002042
600.0,1.33309,0.002224
601.0,1.333037,0.002323
602.0,1.332985,0.002366
603.0,1.332932,0.0024
604.0,1.33288,0.002448
605.0,1.332829,0.002519
606.0,1.332777,0.002587
607.0,1.332725,0.002629
608.0,1.332674,0.002653
609.0,1.332623,0.002673
610.0,1.332573,0.002691
611.0,1.332523,0.002704
612.0,1.332474,0.002715
613.0,1.332425,0.002727
614.0,1.332376,0.00274
615.0,1.332327,0.002752
616.0,1.332277,0.002764
617.0,1.332226,0.002774
618.0,1.332176,0.002785
619.0,1.332126,0.002797
620.0,1.332077,0.00281
621.0,1.332028,0.002824
622.0,1.33198,0.002839
623.0,1.331932,0.002854
624.0,1.331884,0.002868
625.0,1.331836,0.002881
626.0,1.331787,0.002893
627.0,1.331739,0.002907
628.0,1.331691,0.002922
629.0,1.331643,0.002938
630.0,1.331595,0.002955
631.0,1.331548,0.002972
632.0,1.3315,0.002988
633.0,1.331453,0.003
634.0,1.331406,0.003011
635.0,1.331359,0.003023
636.0,1.331313,0.003038
637.0,1.331267,0.003056
638.0,1.331221,0.003076
639.0,1.331176,0.003094
640.0,1.33113,0.003111
641.0,1.331086,0.003127
642.0,1.331041,0.003144
643.0,1.330997,0.003162
644.0,1.330952,0.003181
645.0,1.330908,0.003202
646.0,1.330864,0.003223
