"Sensor","channel","lb","ub","average"
"ALI",1,433,453,443
"ALI",2,450,525,487.5
"ALI",3,525,605,565
"ALI",4,630,690,660
"ALI",5,775,805,790
"ALI",6,845,890,867.5
"ALI",7,1200,1300,1250
"ALI",8,1550,1750,1650
"ALI",9,2080,2350,2215
"Hyperion",1,351,361,356
"Hyperion",2,361,371,366
"Hyperion",3,371,381,376
"Hyperion",4,381,391,386
"Hyperion",5,391,401,396
"Hyperion",6,401,411,406
"Hyperion",7,412,422,417
"Hyperion",8,422,432,427
"Hyperion",9,432,442,437
"Hyperion",10,442,452,447
"Hyperion",11,452,462,457
"Hyperion",12,463,473,468
"Hyperion",13,473,483,478
"Hyperion",14,483,493,488
"Hyperion",15,493,503,498
"Hyperion",16,503,513,508
"Hyperion",17,513,523,518
"Hyperion",18,524,534,529
"Hyperion",19,534,544,539
"Hyperion",20,544,554,549
"Hyperion",21,554,564,559
"Hyperion",22,564,574,569
"Hyperion",23,574,584,579
"Hyperion",24,585,595,590
"Hyperion",25,595,605,600
"Hyperion",26,605,615,610
"Hyperion",27,615,625,620
"Hyperion",28,625,635,630
"Hyperion",29,636,646,641
"Hyperion",30,646,656,651
"Hyperion",31,656,666,661
"Hyperion",32,666,676,671
"Hyperion",33,676,686,681
"Hyperion",34,686,696,691
"Hyperion",35,697,707,702
"Hyperion",36,707,717,712
"Hyperion",37,717,727,722
"Hyperion",38,727,737,732
"Hyperion",39,737,747,742
"Hyperion",40,747,757,752
"Hyperion",41,758,768,763
"Hyperion",42,768,778,773
"Hyperion",43,778,788,783
"Hyperion",44,788,798,793
"Hyperion",45,798,808,803
"Hyperion",46,808,818,813
"Hyperion",47,819,829,824
"Hyperion",48,829,839,834
"Hyperion",49,839,849,844
"Hyperion",50,847,857,852
"Hyperion",51,849,859,854
"Hyperion",52,857,867,862
"Hyperion",53,859,869,864
"Hyperion",54,867,877,872
"Hyperion",55,870,880,875
"Hyperion",56,877,887,882
"Hyperion",57,880,890,885
"Hyperion",58,887,897,892
"Hyperion",59,890,900,895
"Hyperion",60,897,907,902
"Hyperion",61,900,910,905
"Hyperion",62,907,917,912
"Hyperion",63,910,920,915
"Hyperion",64,918,928,923
"Hyperion",65,920,930,925
"Hyperion",66,928,938,933
"Hyperion",67,931,941,936
"Hyperion",68,938,948,943
"Hyperion",69,941,951,946
"Hyperion",70,948,958,953
"Hyperion",71,951,961,956
"Hyperion",72,958,968,963
"Hyperion",73,961,971,966
"Hyperion",74,968,978,973
"Hyperion",75,971,981,976
"Hyperion",76,978,988,983
"Hyperion",77,981,991,986
"Hyperion",78,988,998,993
"Hyperion",79,992,1002,997
"Hyperion",80,998,1008,1003
"Hyperion",81,1002,1012,1007
"Hyperion",82,1008,1018,1013
"Hyperion",83,1012,1022,1017
"Hyperion",84,1018,1028,1023
"Hyperion",85,1022,1032,1027
"Hyperion",86,1028,1038,1033
"Hyperion",87,1032,1042,1037
"Hyperion",88,1039,1049,1044
"Hyperion",89,1043,1053,1048
"Hyperion",90,1049,1059,1054
"Hyperion",91,1053,1063,1058
"Hyperion",92,1059,1069,1064
"Hyperion",93,1069,1079,1074
"Hyperion",94,1079,1089,1084
"Hyperion",95,1089,1099,1094
"Hyperion",96,1099,1109,1104
"Hyperion",97,1109,1119,1114
"Hyperion",98,1119,1129,1124
"Hyperion",99,1129,1139,1134
"Hyperion",100,1139,1149,1144
"Hyperion",101,1150,1160,1155
"Hyperion",102,1160,1170,1165
"Hyperion",103,1170,1180,1175
"Hyperion",104,1180,1190,1185
"Hyperion",105,1190,1200,1195
"Hyperion",106,1200,1210,1205
"Hyperion",107,1210,1220,1215
"Hyperion",108,1220,1230,1225
"Hyperion",109,1230,1240,1235
"Hyperion",110,1240,1250,1245
"Hyperion",111,1250,1260,1255
"Hyperion",112,1261,1271,1266
"Hyperion",113,1271,1281,1276
"Hyperion",114,1281,1291,1286
"Hyperion",115,1291,1301,1296
"Hyperion",116,1301,1311,1306
"Hyperion",117,1311,1321,1316
"Hyperion",118,1321,1331,1326
"Hyperion",119,1331,1341,1336
"Hyperion",120,1341,1351,1346
"Hyperion",121,1351,1361,1356
"Hyperion",122,1361,1371,1366
"Hyperion",123,1372,1382,1377
"Hyperion",124,1382,1392,1387
"Hyperion",125,1392,1402,1397
"Hyperion",126,1402,1412,1407
"Hyperion",127,1412,1422,1417
"Hyperion",128,1422,1432,1427
"Hyperion",129,1432,1442,1437
"Hyperion",130,1442,1452,1447
"Hyperion",131,1452,1462,1457
"Hyperion",132,1462,1472,1467
"Hyperion",133,1472,1482,1477
"Hyperion",134,1483,1493,1488
"Hyperion",135,1493,1503,1498
"Hyperion",136,1503,1513,1508
"Hyperion",137,1513,1523,1518
"Hyperion",138,1523,1533,1528
"Hyperion",139,1533,1543,1538
"Hyperion",140,1543,1553,1548
"Hyperion",141,1553,1563,1558
"Hyperion",142,1563,1573,1568
"Hyperion",143,1573,1583,1578
"Hyperion",144,1583,1593,1588
"Hyperion",145,1594,1604,1599
"Hyperion",146,1604,1614,1609
"Hyperion",147,1614,1624,1619
"Hyperion",148,1624,1634,1629
"Hyperion",149,1634,1644,1639
"Hyperion",150,1644,1654,1649
"Hyperion",151,1654,1664,1659
"Hyperion",152,1664,1674,1669
"Hyperion",153,1674,1684,1679
"Hyperion",154,1684,1694,1689
"Hyperion",155,1694,1704,1699
"Hyperion",156,1705,1715,1710
"Hyperion",157,1715,1725,1720
"Hyperion",158,1725,1735,1730
"Hyperion",159,1735,1745,1740
"Hyperion",160,1745,1755,1750
"Hyperion",161,1755,1765,1760
"Hyperion",162,1765,1775,1770
"Hyperion",163,1775,1785,1780
"Hyperion",164,1785,1795,1790
"Hyperion",165,1795,1805,1800
"Hyperion",166,1805,1815,1810
"Hyperion",167,1815,1825,1820
"Hyperion",168,1826,1836,1831
"Hyperion",169,1836,1846,1841
"Hyperion",170,1846,1856,1851
"Hyperion",171,1856,1866,1861
"Hyperion",172,1866,1876,1871
"Hyperion",173,1876,1886,1881
"Hyperion",174,1886,1896,1891
"Hyperion",175,1896,1906,1901
"Hyperion",176,1906,1916,1911
"Hyperion",177,1916,1926,1921
"Hyperion",178,1926,1936,1931
"Hyperion",179,1937,1947,1942
"Hyperion",180,1947,1957,1952
"Hyperion",181,1957,1967,1962
"Hyperion",182,1967,1977,1972
"Hyperion",183,1977,1987,1982
"Hyperion",184,1987,1997,1992
"Hyperion",185,1997,2007,2002
"Hyperion",186,2007,2017,2012
"Hyperion",187,2017,2027,2022
"Hyperion",188,2027,2037,2032
"Hyperion",189,2037,2047,2042
"Hyperion",190,2047,2057,2052
"Hyperion",191,2058,2068,2063
"Hyperion",192,2068,2078,2073
"Hyperion",193,2078,2088,2083
"Hyperion",194,2088,2098,2093
"Hyperion",195,2098,2108,2103
"Hyperion",196,2108,2118,2113
"Hyperion",197,2118,2128,2123
"Hyperion",198,2128,2138,2133
"Hyperion",199,2138,2148,2143
"Hyperion",200,2148,2158,2153
"Hyperion",201,2158,2168,2163
"Hyperion",202,2169,2179,2174
"Hyperion",203,2179,2189,2184
"Hyperion",204,2189,2199,2194
"Hyperion",205,2199,2209,2204
"Hyperion",206,2209,2219,2214
"Hyperion",207,2219,2229,2224
"Hyperion",208,2229,2239,2234
"Hyperion",209,2239,2249,2244
"Hyperion",210,2249,2259,2254
"Hyperion",211,2259,2269,2264
"Hyperion",212,2269,2279,2274
"Hyperion",213,2280,2290,2285
"Hyperion",214,2290,2300,2295
"Hyperion",215,2300,2310,2305
"Hyperion",216,2310,2320,2315
"Hyperion",217,2320,2330,2325
"Hyperion",218,2330,2340,2335
"Hyperion",219,2340,2350,2345
"Hyperion",220,2350,2360,2355
"Hyperion",221,2360,2370,2365
"Hyperion",222,2370,2380,2375
"Hyperion",223,2380,2390,2385
"Hyperion",224,2391,2401,2396
"Hyperion",225,2401,2411,2406
"Hyperion",226,2411,2421,2416
"Hyperion",227,2421,2431,2426
"Hyperion",228,2431,2441,2436
"Hyperion",229,2441,2451,2446
"Hyperion",230,2451,2461,2456
"Hyperion",231,2461,2471,2466
"Hyperion",232,2471,2481,2476
"Hyperion",233,2481,2491,2486
"Hyperion",234,2491,2501,2496
"Hyperion",235,2501,2511,2506
"Hyperion",236,2512,2522,2517
"Hyperion",237,2522,2532,2527
"Hyperion",238,2532,2542,2537
"Hyperion",239,2542,2552,2547
"Hyperion",240,2552,2562,2557
"Hyperion",241,2562,2572,2567
"Hyperion",242,2572,2582,2577
"Landsat4",1,450,520,485
"Landsat4",2,520,600,560
"Landsat4",3,630,690,660
"Landsat4",4,760,900,830
"Landsat4",5,1550,1750,1650
"Landsat4",6,2080,2350,2215
"Landsat5",1,450,520,485
"Landsat5",2,520,600,560
"Landsat5",3,630,690,660
"Landsat5",4,760,900,830
"Landsat5",5,1550,1750,1650
"Landsat5",6,2080,2350,2215
"Landsat7",1,450,520,485
"Landsat7",2,530,610,570
"Landsat7",3,630,690,660
"Landsat7",4,780,900,840
"Landsat7",5,1550,1750,1650
"Landsat7",6,2090,2350,2220
"Landsat8",1,427,462,444.5
"Landsat8",2,435,530,482.5
"Landsat8",3,512,602,557
