"","V1","V2","V3","V4","V5","V6"
"ah2o",0,-0.00378,-0.003863,-0.033613,-0.047578,-0.022649
"nh2o",0,0.755959,0.751804,0.552153,0.420667,0.639027
"ao3",-0.020374,-0.100023,-0.056975,-0.000102,0,0
"no3",0.994366,0.997233,0.993836,0.995707,0,0
"ao2",0,-1.5e-05,-0.010295,-0.002919,0,0
"no2",0,0.717621,0.482913,0.374966,0,0
"po2",0,1.500378,1.914241,2.240758,0,0
"aco2",0,0,0,0,-0.006778,-0.007124
"nco2",0,0,0,0,0.737463,0.541426
"pco2",0,0,0,0,1.361425,1.837441
"ach4",0,0,0,0,-0.005171,-0.030955
"nch4",0,0,0,0,0.903896,0.769656
"pch4",0,0,0,0,1.075499,1.212564
"ano2",0,0,0,0,0,-0.001345
"nno2",0,0,0,0,0,0.947262
"pno2",0,0,0,0,0,1.039004
"aco",0,0,0,0,0,0
"nco",0,0,0,0,0,0
"pco",0,0,0,0,0,0
"a0s",0.070516,0.042564,0.026017,0.01153,0.000792,1.9e-05
"a1s",0.18436,0.203799,0.205199,0.170438,0.070395,0.03956
"a2s",-0.073705,-0.07877,-0.078709,-0.065228,-0.021806,-0.009628
"a3s",0.058161,0.033156,0.01918,0.008601,0.000851,0.000217
"a0T",1.110593,1.107867,1.098634,1.076622,1.030446,1.017281
"a1T",-0.219483,-0.206981,-0.188313,-0.163594,-0.089941,-0.051867
"a2T",-0.135348,-0.078679,-0.046226,-0.020547,-0.001587,-0.000848
"a3T",-0.253575,-0.219385,-0.188995,-0.141474,-0.054139,-0.030338
"taur",0.165204,0.086083,0.046985,0.018328,0.001126,0.000367
"sr",0.12736,0.073319,0.042538,0.017446,0.001121,0.000366
"a0taup",7.5e-08,-7.5e-08,-3e-07,2.220446e-16,6.938894e-17,4.163336e-17
"a1taup",1.149232,0.961106,0.80783,0.6007,0.246522,0.156342
"wo",0.899132,0.891554,0.884938,0.848129,0.753522,0.761731
"gc",0.640265,0.636126,0.632071,0.632031,0.663004,0.73368
"a0P",6.75451483183095,6.76028664698117,6.74705492738626,6.56222552027553,5.38790986275969,4.59278582863899
"a1P",-0.189900754747374,-0.188997794951871,-0.187645344313529,-0.180015948065326,-0.143564136337132,-0.128837937492986
"a2P",0.00207622562482812,0.00205394694102851,0.00202863991014266,0.00191613502067722,0.00147151113470331,0.00139148941527792
"a3P",-1.02239098122431e-05,-1.00425687096725e-05,-9.86158367916222e-06,-9.14642802008535e-06,-6.67651899908634e-06,-6.65331789918773e-06
"a4P",1.92292843832552e-08,1.87336881322095e-08,1.82819667982266e-08,1.66182750685137e-08,1.14202566256823e-08,1.1936113191893e-08
"Rest1",-0.010027,-0.004166,-0.001666,-0.000189,-0.000138,-0.000183
"Rest2",-0.025706,-0.016316,-0.009983,-0.004305,-0.000334,-0.000402
"Rest3",-0.01953,-0.015616,-0.011313,-0.006408,-0.000611,-0.001351
"Rest4",-0.003103,-0.003445,-0.003268,-0.002756,-0.000503,0.002252
"Resr1",-0.003875,-0.000883,-0.000218,-2.9e-05,-4.8e-05,-1.4e-05
"Resr2",0.002427,-0.004332,-0.004725,-0.003079,-0.034105,-0.034945
"Resr3",0.022347,0.025773,0.026729,0.029484,9.002167,24.747693
"Resa1",-0.010386,-0.008463,-0.006867,-0.003914,-0.00039,-4.3e-05
"Resa2",-0.036363,-0.036117,-0.03539,-0.029285,-0.010416,-0.004715
"Resa3",-0.031459,-0.037738,-0.044376,-0.048571,-0.038729,-0.034866
"Resa4",-0.008473,-0.012296,-0.017321,-0.026311,-0.059528,-0.10141
