"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"ah2o",0,0,-0.001908168,-0.003946123,-0.0007156807,-0.0006659668,-0.01734149,-0.002730778,-2.940085
"nh2o",0,0,0.7843939,0.785391,0.9011232,0.9444575,0.6619938,0.7710167,0.4241797
"ao3",-0.002556307,-0.01778661,-0.09698999,-0.0611478,0,0,0,-0.08341408,0
"no3",0.999896,0.995171,0.9985057,0.9988272,0,0,0,0.9956374,0
"ao2",0,0,0,-1.164959e-05,-2.131938e-05,0,0,-0.0002072686,0
"no2",0,0,0,0.65396,1.009738,0,0,0.6971248,0
"po2",0,0,0,2.127236,2.681091,0,0,1.512861,0
"aco2",0,0,0,0,0,-0.0163735,-0.000626844,0,-9.814021e-06
"nco2",0,0,0,0,0,0.7367197,0.7674347,0,1.0152
"pco2",0,0,0,0,0,1.366545,1.818778,0,0.996122
"ach4",0,0,0,0,0,-0.003125967,-0.02140851,0,0
"nch4",0,0,0,0,0,0.8762064,0.7995959,0,0
"pch4",0,0,0,0,0,1.157518,1.212139,0,0
"ano2",0,0,0,0,0,0,-0.001754066,0,0
"nno2",0,0,0,0,0,0,0.94637,0,0
"pno2",0,0,0,0,0,0,1.036877,0,0
"aco",0,0,0,0,0,0,0,0,0
"nco",0,0,0,0,0,0,0,0,0
"pco",0,0,0,0,0,0,0,0,0
"a0s",0.09390101,0.07428674,0.04568324,0.0268483,0.009980835,0.002293615,7.244608e-05,0.04067702,0.003695199
"a1s",0.1782947,0.1979363,0.212505,0.2089272,0.1634015,0.07398469,0.03879876,0.2112631,0.09390205
"a2s",-0.07659839,-0.08196376,-0.0855639,-0.08058421,-0.06130558,-0.02276637,-0.009438463,-0.08385338,-0.03115389
"a3s",0.07022699,0.05212763,0.03027365,0.01762082,0.006761074,-0.0002181065,0.0002324702,0.02696195,0.0002084509
"a0T",1.094968,1.109756,1.10835,1.101426,1.076306,1.035945,1.021023,1.106421,1.046225
"a1T",-0.1988461,-0.2181409,-0.1955616,-0.1818166,-0.1585089,-0.09732461,-0.05463131,-0.1909898,-0.1147638
"a2T",-0.1824428,-0.1415759,-0.0832678,-0.04806456,-0.01747689,0.0003283393,-0.0007659698,-0.07386074,-0.003162897
"a3T",-0.2784262,-0.2522171,-0.2333959,-0.2008697,-0.1411419,-0.06407028,-0.03508014,-0.2245462,-0.08332575
"taur",0.23667,0.16941,0.09071,0.04828,0.01563,0.00129,0.00037,0.07985,0.00243
"sr",0.16887,0.13006,0.07692,0.04365,0.015,0.00129,0.00037,0.06813,0.0024
"a0taup",-5e-07,-1e-06,5e-07,-3.794441e-17,1.5e-06,7.5e-07,-8.030713e-18,-6.18335e-17,1.793554e-17
"a1taup",1.262629,1.157494,0.9776768,0.8154662,0.5729744,0.2617085,0.1569838,0.9319647,0.3237647
"wo",0.90028,0.89929,0.89172,0.88578,0.84151,0.75251,0.76151,0.89108,0.76801
"gc",0.64306,0.64045,0.63655,0.63228,0.6323,0.65464,0.73322,0.63529,0.6419
"a0P",6.7754562,6.7906412,6.7970151,6.7856212,6.5681826,5.5373497,4.6236326,6.7944928,5.8481548
"a1P",-0.19108148,-0.19103882,-0.19019876,-0.18888866,-0.17991142,-0.14658077,-0.12972773,-0.18985714,-0.15473425
"a2P",0.0020934354,0.0020875821,0.0020664357,0.0020416973,0.0019093239,0.0014898491,0.0013999491,0.0020599369,0.001574493
"a3P",-1.0327475e-05,-1.0267303e-05,-1.0093645e-05,-9.9164833e-06,-9.0749592e-06,-6.6930775e-06,-6.6840427e-06,-1.004749e-05,-7.1019691e-06
"a4P",1.9461934e-08,1.9280354e-08,1.8802552e-08,1.8360528e-08,1.6402092e-08,1.1329364e-08,1.1968765e-08,1.8689506e-08,1.2109676e-08
"Rest1",0.005388,-0.013188,0.001213,0.000518,0.000133,-0.000133,-0.000184,0.001024,7.5e-05
"Rest2",0.015473,-0.029381,0.004715,0.001451,9.3e-05,-0.001072,-0.000409,0.00412,-0.001698
"Rest3",0.006858,-0.019276,0.003057,0.000797,0.001472,-0.004138,-0.002332,0.002747,-0.004794
"Rest4",0.001523,-0.002477,0.0011,0.000312,0.001459,-0.004974,-0.004768,0.001022,-0.004275
"Resr1",-0.013559,-0.004988,-0.001755,-0.000506,-5.9e-05,0.000213,9.7e-05,-0.001499,-3e-06
"Resr2",0.004844,0.00685,-0.008889,-0.006576,-0.002804,-0.21679,-0.341563,-0.008445,-0.000607
"Resr3",0.076365,0.021303,0.097661,0.100727,0.10232,40.928123,222.689799,0.106903,0.087549
"Resa1",-0.000403,-0.013866,-0.00034,-0.000272,-0.000209,-9.8e-05,-6.1e-05,-0.000323,-0.000102
"Resa2",0.000832,-0.038209,0.000734,0.000881,-0.000279,-0.001503,-0.002481,0.000758,-0.000922
"Resa3",0.003118,-0.025567,0.004385,0.005717,0.009728,0.017906,0.005684,0.004659,0.017419
"Resa4",0.001194,-0.005442,0.002283,0.00357,0.009038,0.039629,0.056212,0.002559,0.029151
