"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"ah2o",-0.003706,-0.005594,0,0,-0.002048,-0.000459,-0.021926,0,0,0,0,0,-0.000369,-5.4e-05,-0.001949,-0.000152,-0.127884,-0.576328,-0.413228,-2.532449
"nh2o",0.801848,0.706655,0,0,0.82895,0.955282,0.708142,0,0,0,0,0,0.889317,0.978685,0.83834,0.917021,0.523677,0.467646,0.444117,0.339418
"ao3",-0.07224,0,-0.0074,-0.089892,0,0,0,0,-0.002489,-0.018315,-0.061241,-0.080001,-0.04868,-0.037527,-0.010324,0,0,0,0,0
"no3",0.997005,0,0.999753,0.99942,0,0,0,0,0.999954,0.999976,0.999656,0.999862,0.999829,0.999784,0.999981,0,0,0,0,0
"ao2",-0.00063,-1.6e-05,0,0,-0.001601,0,0,0,0,0,0,0,0,-0.000673,0,-3.8e-05,0,0,0,0
"no2",0.710552,0.995636,0,0,0.694516,0,0,0,0,0,0,0,0,0.44806,0,0.996316,0,0,0,0
"po2",1.495921,2.752986,0,0,1.661752,0,0,0,0,0,0,0,0,1.929281,0,2.755283,0,0,0,0
"aco2",0,0,0,0,-0.000169,-0.00548,-0.010266,0,0,0,0,0,0,0,0,0,0,0,0,0
"nco2",0,0,0,0,0.924828,0.811513,0.772232,0,0,0,0,0,0,0,0,0,0,0,0,0
"pco2",0,0,0,0,1.227618,1.335155,1.860657,0,0,0,0,0,0,0,0,0,0,0,0,0
"ach4",0,0,0,0,0,-0.005384,-0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0
"nch4",0,0,0,0,0,0.897267,0.938448,0,0,0,0,0,0,0,0,0,0,0,0,0
"pch4",0,0,0,0,0,1.197496,1.139538,0,0,0,0,0,0,0,0,0,0,0,0,0
"ano2",0,0,0,0,0,0,-0.002003,0,0,0,0,0,0,0,0,0,0,0,0,0
"nno2",0,0,0,0,0,0,0.961895,0,0,0,0,0,0,0,0,0,0,0,0,0
"pno2",0,0,0,0,0,0,1.022931,0,0,0,0,0,0,0,0,0,0,0,0,0
"aco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a0s",0.028276,0.010419,0.081243,0.04699,0.004686,0.002185,0.000222,0.114979,0.09424,0.071155,0.054311,0.048863,0.025409,0.023973,0.01715,0.00999,0.009151,0.008518,0.008524,0.003717
"a1s",0.21229,0.167454,0.190672,0.211002,0.108971,0.073832,0.042903,0.145486,0.176837,0.198331,0.20938,0.210186,0.209868,0.208209,0.192651,0.165268,0.157851,0.151947,0.151976,0.095402
"a2s",-0.082589,-0.064054,-0.078392,-0.082828,-0.038501,-0.023208,-0.010849,-0.061515,-0.074583,-0.079144,-0.082362,-0.082422,-0.08163,-0.080907,-0.074832,-0.063089,-0.059926,-0.057386,-0.057395,-0.032525
"a3s",0.018724,0.007219,0.059856,0.032637,0.000881,-0.000289,0.000129,0.092204,0.071772,0.051113,0.038102,0.034084,0.016748,0.01579,0.011341,0.006919,0.005824,0.00502,0.005031,9.1e-05
"a0T",1.098545,1.07291,1.106351,1.106651,1.049216,1.031589,1.019204,1.091008,1.100452,1.110597,1.109142,1.107228,1.09615,1.094765,1.086027,1.071849,1.069356,1.067306,1.067308,1.041793
"a1T",-0.191623,-0.161066,-0.225667,-0.212997,-0.12365,-0.09319,-0.057302,-0.230516,-0.227968,-0.223316,-0.21662,-0.21439,-0.188009,-0.18606,-0.175612,-0.159807,-0.155678,-0.1523,-0.152307,-0.112411
