"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"ah2o",0,0,-0.000757000001613051,-0.00346200005151331,-0.0137120001018047,-0.01297099981457,-0.00399800017476082,-0.0281639993190765,-0.000384999992093071,-0.680922985076904,-3.00170111656189,-0.000630999973509461,-0.0175630003213882
"nh2o",0,0,0.901893019676208,0.768630981445312,0.767937004566193,0.788635015487671,0.75618702173233,0.585874021053314,0.910820007324219,0.475015997886658,0.424001008272171,0.949862003326416,0.659148991107941
"ao3",-0.00265599996782839,-0.0272659994661808,-0.0987379997968674,-0.049991998821497,-0.0204460006207228,-0.0108669996261597,0,0,0,0,0,0,0
"no3",0.999893009662628,0.995324015617371,0.998703002929688,0.998946011066437,0.99992698431015,1,0,0,0,0,0,0,0
"ao2",0,0,0,0,0,0,-0.000134000001708046,0,-2.99999992421363e-05,0,0,0,0
"no2",0,0,0,0,0,0,0.961538970470428,0,0.994903028011322,0,0,0,0
"po2",0,0,0,0,0,0,2.87641501426697,0,2.75943803787231,0,0,0,0
"aco2",0,0,0,0,0,0,0,0,0,0,0,-0.01626200042665,-0.000136999995447695
"nco2",0,0,0,0,0,0,0,0,0,0,0,0.738484978675842,0.94556599855423
"pco2",0,0,0,0,0,0,0,0,0,0,0,1.35854697227478,1.71105802059174
"ach4",0,0,0,0,0,0,0,0,0,0,0,-0.00388700002804399,-0.0207080002874136
"nch4",0,0,0,0,0,0,0,0,0,0,0,0.87151700258255,0.807874023914337
"pch4",0,0,0,0,0,0,0,0,0,0,0,1.1333019733429,1.2124969959259
"ano2",0,0,0,0,0,0,0,0,0,0,0,0,-0.00172299996484071
"nno2",0,0,0,0,0,0,0,0,0,0,0,0,0.943805992603302
"pno2",0,0,0,0,0,0,0,0,0,0,0,0,1.0328780412674
"aco",0,0,0,0,0,0,0,0,0,0,0,0,0
"nco",0,0,0,0,0,0,0,0,0,0,0,0,0
"pco",0,0,0,0,0,0,0,0,0,0,0,0,0
"a0s",0.0897919982671738,0.0661640018224716,0.0445629991590977,0.0253110006451607,0.0207940004765987,0.0175289995968342,0.0144009999930859,0.0116079999133945,0.00990200042724609,0.00767400022596121,0.00209899991750717,0.000946999993175268,1.59999999596039e-05
"a1s",0.161645993590355,0.188676998019218,0.202436000108719,0.20508299767971,0.199341997504234,0.191277995705605,0.18181100487709,0.170964002609253,0.164075002074242,0.149188995361328,0.0958999991416931,0.0753699988126755,0.0396329984068871
"a2s",-0.0677369982004166,-0.0746719986200333,-0.0781079977750778,-0.0787409991025925,-0.0766389966011047,-0.0738240033388138,-0.070093996822834,-0.0654599964618683,-0.0624510012567043,-0.0561369992792606,-0.0327670015394688,-0.0238799992948771,-0.00964900013059378
"a3s",0.0790190026164055,0.0538709983229637,0.0349580012261868,0.018580999225378,0.0150389997288585,0.0126820001751184,0.0105189997702837,0.00865800026804209,0.00755500001832843,0.00576699990779161,0.00175399996805936,0.000983000034466386,0.000218000001041219
"a0T",1.10040199756622,1.11193096637726,1.10862994194031,1.09811401367188,1.09296894073486,1.08825302124023,1.08284902572632,1.07684195041656,1.0728839635849,1.06748199462891,1.04236197471619,1.03195905685425,1.01729595661163
"a1T",-0.222883000969887,-0.218353003263474,-0.209645003080368,-0.187508001923561,-0.181147992610931,-0.176063999533653,-0.170337006449699,-0.16389699280262,-0.159788995981216,-0.151171997189522,-0.113053999841213,-0.0945869982242584,-0.0519380010664463
"a2T",-0.182006999850273,-0.125174999237061,-0.0822729989886284,-0.0449910014867783,-0.036651998758316,-0.0318120010197163,-0.0263800006359816,-0.0206809993833303,-0.0168529991060495,-0.0145669998601079,-0.00484299985691905,-0.00167699996381998,-0.000852999975904822
"a3T",-0.265424996614456,-0.250030010938644,-0.222334995865822,-0.187552005052567,-0.175273001194,-0.165363997220993,-0.154150992631912,-0.14190299808979,-0.133853003382683,-0.123393997550011,-0.0760949999094009,-0.0569319985806942,-0.0303649995476007
"taur",0.234485000371933,0.151087000966072,0.0909660011529922,0.0453500002622604,0.0358409993350506,0.0292509999126196,0.0233789999037981,0.0184760000556707,0.0156020000576973,0.0109259998425841,0.00243299989961088,0.00127999996766448,0.000371000001905486
"sr",0.234485000371933,0.151087000966072,0.0909660011529922,0.0453500002622604,0.0358409993350506,0.0292509999126196,0.0233789999037981,0.0184760000556707,0.0156020000576973,0.0109259998425841,0.00243299989961088,0.00127999996766448,0.000371000001905486
"a0taup",2.22044604925031e-16,5.55111512312578e-17,2.74999990779179e-07,3.00000010611257e-07,-2.24999993747588e-07,2.24999993747588e-07,-1.0000000116861e-07,5.00000005843049e-08,-3.75000013264071e-07,1.24999999684405e-07,-2.00000002337219e-07,2.00000002337219e-07,-2.00000002337219e-07
