"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"ah2o",0,0,-0.000717999995686114,-0.00313300010748208,-0.0137440003454685,-0.0166090000420809,-0.00230000005103648,-0.0280039999634027,-0.000461999996332452,-0.688583016395569,-2.87622594833374,-0.000637000019196421,-0.0192329995334148
"nh2o",0,0,0.905614018440247,0.778891980648041,0.772045016288757,0.757890999317169,0.779365003108978,0.594403982162476,0.91458797454834,0.476265013217926,0.417546004056931,0.954273998737335,0.675979018211365
"ao3",-0.00245100003667176,-0.0240180008113384,-0.097352996468544,-0.0495220012962818,-0.0204649996012449,-0.0109350001439452,-5.09999990754295e-05,0,0,0,0,0,0
"no3",0.999795019626617,0.995265007019043,0.998772025108337,0.999081015586853,0.999916017055511,1.00001895427704,0.977837979793549,0,0,0,0,0,0
"ao2",0,0,0,0,-1.59999999596039e-05,0,-0.00119199999608099,-9.0000003183377e-06,-2.99999992421363e-05,0,0,0,0
"no2",0,0,0,0,0.800450026988983,0,0.753952980041504,0.327154994010925,1.01103103160858,0,0,0,0
"po2",0,0,0,0,2.84975910186768,0,2.67846703529358,13.0847902297974,2.72526693344116,0,0,0,0
"aco2",0,0,0,0,0,0,0,0,0,0,-6.00000021222513e-06,-0.0167009998112917,-0.00120499997865409
"nco2",0,0,0,0,0,0,0,0,0,0,1.2036999464035,0.74390697479248,0.868526995182037
"pco2",0,0,0,0,0,0,0,0,0,0,0.72484302520752,1.35394895076752,1.90906894207001
"ach4",0,0,0,0,0,0,0,0,0,0,0,-0.00345499999821186,-0.0152860004454851
"nch4",0,0,0,0,0,0,0,0,0,0,0,0.877251982688904,0.824871003627777
"pch4",0,0,0,0,0,0,0,0,0,0,0,1.13230001926422,1.20380795001984
"ano2",0,0,0,0,0,0,0,0,0,0,0,0,-0.00170899997465312
"nno2",0,0,0,0,0,0,0,0,0,0,0,0,0.94895201921463
"pno2",0,0,0,0,0,0,0,0,0,0,0,0,1.02309894561768
"aco",0,0,0,0,0,0,0,0,0,0,0,0,0
"nco",0,0,0,0,0,0,0,0,0,0,0,0,0
"pco",0,0,0,0,0,0,0,0,0,0,0,0,0
"a0s",0.0942979976534843,0.0702190026640892,0.04611000046134,0.0253769997507334,0.020762000232935,0.0175930000841618,0.0145779997110367,0.0117290001362562,0.00998099986463785,0.00829300004988909,0.00367200002074242,0.00228599994443357,9.50000030570664e-05
"a1s",0.177722007036209,0.201198995113373,0.212320998311043,0.207407996058464,0.200310006737709,0.19182400405407,0.1822369992733,0.170830994844437,0.163519993424416,0.14826899766922,0.0936010032892227,0.0738800019025803,0.0393120013177395
"a2s",-0.0763669982552528,-0.082786001265049,-0.0855799987912178,-0.0798190012574196,-0.0764520019292831,-0.0732989981770515,-0.0694290027022362,-0.0645430013537407,-0.0613540001213551,-0.0548349991440773,-0.0310190003365278,-0.0227310005575418,-0.0096239997074008
"a3s",0.0706240013241768,0.0487099997699261,0.0305739995092154,0.0166590008884668,0.0136789996176958,0.0115729998797178,0.0096469996497035,0.00784500036388636,0.00677900016307831,0.00472899992018938,0.000197999994270504,-0.000218999994103797,0.000226000003749505
"a0T",1.10050201416016,1.1107360124588,1.10848999023438,1.09839200973511,1.09342002868652,1.08890902996063,1.08381605148315,1.07778298854828,1.07376801967621,1.06850302219391,1.04340600967407,1.03333103656769,1.01865601539612
"a1T",-0.220864996314049,-0.217145994305611,-0.208370998501778,-0.187141999602318,-0.181194007396698,-0.176402002573013,-0.171072006225586,-0.164702996611595,-0.160576000809669,-0.152142003178596,-0.113770999014378,-0.0958629995584488,-0.0537829995155334
"a2T",-0.18843400478363,-0.132377997040749,-0.0844080001115799,-0.045194998383522,-0.0367389991879463,-0.0320589989423752,-0.0268779993057251,-0.0210239998996258,-0.0170959997922182,-0.0144769996404648,-0.00305099994875491,0.000265000009676442,-0.000702999997884035
"a3T",-0.264109998941422,-0.248947992920876,-0.221963003277779,-0.187873005867004,-0.175961002707481,-0.166318997740746,-0.155563995242119,-0.143068000674248,-0.134773999452591,-0.124815002083778,-0.0788279995322227,-0.0604580007493496,-0.0323509983718395
"taur",0.238209992647171,0.15692999958992,0.0916799977421761,0.0452000014483929,0.0358599983155727,0.0294199995696545,0.023709999397397,0.0186400003731251,0.015659999102354,0.0110200000926852,0.00240999995730817,0.00129000004380941,0.000380000012228265
"sr",0.238209992647171,0.15692999958992,0.0916799977421761,0.0452000014483929,0.0358599983155727,0.0294199995696545,0.023709999397397,0.0186400003731251,0.015659999102354,0.0110200000926852,0.00240999995730817,0.00129000004380941,0.000380000012228265
"a0taup",4.99999998737621e-07,-1.50000005305628e-06,2.49999999368811e-07,0,7.50000026528141e-07,-1.50000005305628e-06,-3.00000010611257e-06,-1.50000005305628e-06,0,-7.50000026528141e-07,1.24999996842234e-06,0,0
"a1taup",1.26455903053284,1.13447701931,0.981715977191925,0.800000011920929,0.74651300907135,0.700877010822296,0.65430098772049,0.604485988616943,0.573415994644165,0.51468700170517,0.322795987129211,0.261384010314941,0.158600002527237
"wo",0.900300025939941,0.898890018463135,0.891539990901947,0.884270012378693,0.877730011940002,0.868950009346008,0.859489977359772,0.848900020122528,0.841610014438629,0.827170014381409,0.767650008201599,0.752529978752136,0.761280000209808
