"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"ah2o",0,0,0,0,0,0,-1.193825e-05,-0.000244903,-4.215e-09,-0.0001621057,-0.007614466,0,0,0,0,-0.0004567795,-0.000292383,-0.001569849,-0.1558518,-0.6435438,-0.003321437
"nh2o",0,0,0,0,0,0,0.887262,0.9578044,2.546941,0.9781766,0.8828565,0,0,0,0,0.8369655,0.9147832,0.8868269,0.5403645,0.4832199,0.8980335
"ao3",0,0,-0.002611769,-0.01910263,-0.03904851,-0.100494,-0.1053362,-0.04915645,-0.04018762,-0.0334988,-0.01858381,-0.008808954,-0.006750208,-0.005827059,-0.004059585,0,0,0,0,0,0
"no3",0,0,0.9999123,0.9999648,0.9999901,0.9998342,0.9999209,0.9998712,0.9999107,0.9999298,0.9999742,1.000011,1.000017,0.999993,0.9992736,0,0,0,0,0,0
"ao2",0,0,0,0,0,0,0,0,0,-0.0009480641,0,-0.003297247,-0.5600857,-0.2726262,-0.05105935,-0.0003555472,-3.147399e-05,0,0,0,0
"no2",0,0,0,0,0,0,0,0,0,0.4459068,0,0.2500144,0.4816616,0.4964123,0.5390714,0.9302534,1.005356,0,0,0,0
"po2",0,0,0,0,0,0,0,0,0,1.930397,0,2.41633,2.021602,2.080196,2.559354,2.800414,2.742706,0,0,0,0
"aco2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nco2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pco2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ach4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ano2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nno2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pno2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a0s",0.1233023,0.1148312,0.09392846,0.07027704,0.06206048,0.04560107,0.0322744,0.02530053,0.02415911,0.02321283,0.02023939,0.0164011,0.01583273,0.01560932,0.01538618,0.01460824,0.009931747,0.009489229,0.009161089,0.00837222,0.007366335
"a1s",0.1291435,0.1455124,0.1783334,0.201116,0.207963,0.2125133,0.2128539,0.2073841,0.2060176,0.2047741,0.199036,0.1882281,0.1864447,0.1857215,0.1849868,0.1823472,0.1632172,0.1593914,0.1564343,0.1490185,0.1389755
"a2s",-0.05416947,-0.06233255,-0.07664023,-0.08226243,-0.08453589,-0.08566106,-0.08320089,-0.07981434,-0.07910032,-0.07842568,-0.07600446,-0.07187588,-0.07116071,-0.07086747,-0.07056679,-0.06947496,-0.06121656,-0.05959961,-0.05833911,-0.05515354,-0.05081197
"a3s",0.1008052,0.09164558,0.07024094,0.04839612,0.0419406,0.03020687,0.02115251,0.01660483,0.01586814,0.01527513,0.01333586,0.01080431,0.0104433,0.01030012,0.01015915,0.009667485,0.006740246,0.006182641,0.005776351,0.004820727,0.003669016
"a0T",1.085878,1.090063,1.100691,1.112196,1.112482,1.108359,1.10357,1.098344,1.097233,1.096271,1.092736,1.08701,1.086059,1.085674,1.085285,1.083878,1.073644,1.072353,1.071358,1.068772,1.065046
"a1T",-0.2224755,-0.2221481,-0.2208465,-0.2177856,-0.2148662,-0.208158,-0.1950106,-0.1870778,-0.1856892,-0.1844994,-0.1804635,-0.1744035,-0.1734094,-0.1730068,-0.1726004,-0.171136,-0.1604143,-0.1583491,-0.1567351,-0.152574,-0.146652
"a2T",-0.2379908,-0.225409,-0.1878213,-0.1302219,-0.1141103,-0.08351339,-0.05837207,-0.04509248,-0.04293515,-0.04109157,-0.03602279,-0.03011407,-0.02914565,-0.02875594,-0.02835833,-0.02693914,-0.01700516,-0.01634214,-0.01585611,-0.01460714,-0.01283143
