"band1","band2","band3","band4","band5","band6"
0,0,0.0021,0.0024,0,0.0094
0,6e-04,0.0023,0.0048,2e-04,0.0099
5e-04,0.0019,0.0089,0.0072,2e-04,0.0109
6e-04,0.0032,0.0231,0.0097,4e-04,0.0118
6e-04,0.0065,0.0415,0.0195,6e-04,0.0128
7e-04,0.0089,0.0453,0.0224,8e-04,0.0138
7e-04,0.0114,0.0616,0.0254,0.001,0.0148
8e-04,0.0139,0.0811,0.0283,0.0011,0.0158
8e-04,0.0164,0.1007,0.0313,0.0012,0.0168
9e-04,0.019,0.1204,0.0343,0.0014,0.0178
9e-04,0.0215,0.1402,0.0422,0.0016,0.0183
0.001,0.0241,0.1602,0.0503,0.0022,0.0193
0.001,0.0268,0.1803,0.0583,0.0036,0.0225
0.0011,0.0295,0.2402,0.0663,0.0051,0.0258
0.0012,0.0322,0.3271,0.0744,0.0059,0.029
0.0012,0.0349,0.4145,0.0825,0.0074,0.0323
0.0016,0.0504,0.4491,0.0905,0.009,0.0356
0.002,0.0662,0.4706,0.0987,0.0116,0.0389
0.0024,0.0912,0.4921,0.1207,0.0146,0.0423
0.0028,0.1205,0.5138,0.1428,0.0176,0.0439
0.0032,0.152,0.5354,0.1649,0.0207,0.0473
0.0051,0.1912,0.5572,0.1871,0.0238,0.0506
0.0072,0.2309,0.579,0.2158,0.0327,0.054
0.0103,0.2711,0.601,0.2511,0.0378,0.0574
0.0134,0.3117,0.6235,0.2864,0.0479,0.0608
0.0166,0.3529,0.6504,0.3219,0.0667,0.0642
0.0199,0.3917,0.6866,0.3573,0.0873,0.0676
0.0252,0.4299,0.7366,0.3929,0.1138,0.0723
0.031,0.4685,0.7869,0.4285,0.1513,0.0753
0.0367,0.5075,0.8027,0.4642,0.1893,0.0813
0.0421,0.5372,0.8185,0.5,0.2278,0.0874
0.0476,0.5606,0.8345,0.5436,0.2669,0.0934
0.0531,0.5772,0.8485,0.5868,0.312,0.0995
0.0588,0.5909,0.8598,0.6301,0.368,0.1095
0.0645,0.6046,0.8711,0.6733,0.4248,0.1196
0.0704,0.6168,0.8826,0.7166,0.4826,0.1297
0.0827,0.6326,0.8941,0.7599,0.5412,0.1348
0.1213,0.6467,0.9056,0.795,0.598,0.1449
0.1725,0.661,0.9116,0.8218,0.6252,0.16
0.273,0.6754,0.917,0.8487,0.6801,0.1802
0.3718,0.6899,0.9224,0.8756,0.7319,0.2004
0.4425,0.7003,0.9278,0.9025,0.7775,0.2207
0.5142,0.7107,0.9332,0.917,0.8236,0.241
0.5788,0.7213,0.9386,0.9315,0.8578,0.2654
0.6268,0.7319,0.9441,0.946,0.8903,0.294
0.7114,0.7426,0.9433,0.9564,0.9165,0.3227
0.7318,0.7533,0.9424,0.9629,0.9302,0.3371
0.7415,0.7642,0.9415,0.9695,0.9287,0.3659
0.751,0.7751,0.9406,0.976,0.9468,0.3947
0.755,0.7861,0.9397,0.9826,0.9429,0.4237
0.7564,0.7971,0.9388,0.9861,0.9368,0.4528
0.7663,0.8031,0.9379,0.9896,0.9327,0.4819
0.7763,0.8091,0.937,0.993,0.9325,0.5257
0.7876,0.8152,0.936,0.9965,0.929,0.5404
0.7965,0.8206,0.9351,1,0.9284,0.571
0.8076,0.8261,0.9372,0.9973,0.9282,0.6018
0.8117,0.8316,0.9394,0.9945,0.928,0.6327
0.8168,0.8371,0.9429,0.9918,0.9396,0.6637
0.8219,0.8427,0.9483,0.9891,0.9493,0.6948
0.8266,0.8482,0.9537,0.9863,0.955,0.7261
0.8288,0.8538,0.9591,0.9833,0.9606,0.7576
0.8309,0.8593,0.9646,0.9803,0.9662,0.7891
0.8331,0.865,0.97,0.9772,0.9719,0.805
0.8351,0.8706,0.9755,0.9742,0.9775,0.8368
0.8383,0.8731,0.9793,0.9712,0.9831,0.8641
0.8457,0.8743,0.9831,0.9682,0.9877,0.8869
0.8532,0.8754,0.9869,0.9651,0.9888,0.9098
0.8607,0.8766,0.9904,0.9621,0.9871,0.9202
0.8682,0.8777,0.9969,0.9591,0.9848,0.9307
0.8758,0.8788,0.9964,0.9561,0.9825,0.9387
0.8835,0.8799,0.9982,0.953,0.9802,0.9441
0.886,0.8809,1,0.95,0.9778,0.9496
0.8885,0.882,0.9977,0.9474,0.9758,0.9498
0.891,0.883,0.9957,0.9447,0.974,0.9502
0.8934,0.884,0.9936,0.942,0.9721,0.9506
0.8959,0.885,0.9725,0.9391,0.9703,0.95
0.8983,0.886,0.9734,0.9362,0.9685,0.9494
0.9007,0.8869,0.9742,0.9333,0.9672,0.9464
0.9031,0.8914,0.9635,0.9304,0.9679,0.9411
0.9054,0.8958,0.9451,0.9304,0.9732,0.9357
0.9078,0.9002,0.9265,0.932,0.9768,0.9373
0.9179,0.9047,0.9078,0.934,0.9803,0.9405
0.9281,0.9092,0.871,0.936,0.9833,0.9437
0.9384,0.9136,0.822,0.938,0.9861,0.9447
0.9476,0.9323,0.7727,0.9399,0.9875,0.9458
0.9519,0.9444,0.6869,0.9419,0.9859,0.9466
0.9563,0.9536,0.594,0.9439,0.9844,0.9473
0.9607,0.963,0.5049,0.9459,0.9834,0.948
0.9651,0.9715,0.4333,0.9479,0.9824,0.9507
0.9703,0.9768,0.3612,0.9499,0.9813,0.9562
0.9789,0.982,0.2888,0.9519,0.9803,0.9617
0.9866,0.9875,0.2235,0.9539,0.9793,0.9675
0.9943,0.9941,0.1879,0.9558,0.9783,0.9733
1,0.9986,0.1522,0.9578,0.9772,0.9792
0.9986,1,0.1162,0.9598,0.9597,0.985
0.9897,0.9991,0.1056,0.9618,0.9746,0.9909
0.9629,0.9984,0.095,0.9638,0.9751,0.9964
0.9358,0.9953,0.0844,0.9658,0.9784,0.9968
0.9085,0.9799,0.0737,0.9677,0.9816,0.9975
0.8806,0.9644,0.0629,0.9697,0.9849,0.9982
0.8519,0.9488,0.045,0.9717,0.9882,0.9989
0.8244,0.9265,0.03,0.9737,0.9905,0.9996
0.8101,0.8941,0.0195,0.9756,0.9918,0.9994
0.7956,0.8616,0.0121,0.9776,0.9932,0.9983
0.7788,0.8288,0.0061,0.9796,0.9946,0.9972
0.7559,0.7959,0.0031,0.9782,0.9961,0.996
0.7068,0.7466,0,0.9768,0.9978,0.9952
0.5964,0.6721,0,0.9754,0.9995,0.9946
0.4966,0.597,0,0.974,0.9991,0.994
0.4132,0.5215,0,0.9726,0.9962,0.9934
0.3292,0.4674,0,0.9711,0.9932,0.9928
0.2447,0.4131,0,0.9697,0.9896,0.9925
0.1369,0.3586,0,0.9674,0.9859,0.9919
0.1054,0.3038,0,0.9651,0.974,0.9913
0.0945,0.2487,0,0.9627,0.9821,0.9907
0.0834,0.2057,0,0.9604,0.9784,0.9901
0.0723,0.181,0,0.9591,0.9746,0.9895
0.0612,0.1562,0,0.9589,0.9709,0.9886
0.0554,0.1313,0,0.9587,0.9671,0.9882
0.052,0.1078,0,0.9599,0.9634,0.9811
0.0485,0.0973,0,0.961,0.9597,0.9749
0.045,0.0868,0,0.9621,0.9559,0.9625
0.0415,0.0763,0,0.9632,0.9541,0.9548
0.038,0.0657,0,0.9643,0.9526,0.9519
0.0344,0.055,0,0.9655,0.9504,0.949
0.0309,0.0518,0,0.9666,0.9489,0.946
