"band1","band2","band3","band4","band5","band6","band7","band8","band9"
7.3e-05,1e-05,-4.6e-05,-0.000342,-3.4e-05,-1.6e-05,-1e-05,0.000216,-3e-06
0.000609,6.1e-05,1.6e-05,0.00027,1.1e-05,6.7e-05,3.7e-05,0.000514,8.6e-05
0.001628,0.000117,0.00011,0.000895,5e-05,0.000151,8.3e-05,0.001013,0.000194
0.003421,0.000241,0.000247,0.00185,1e-04,0.000249,0.000131,0.001587,0.000321
0.008019,0.000349,0.000362,0.003648,0.000239,0.000348,0.000179,0.002619,0.000469
0.024767,0.000455,0.000648,0.007197,0.000314,0.000466,0.00024,0.003841,0.000647
0.085688,0.000756,0.000935,0.014515,0.000495,0.000585,0.000305,0.006195,0.000856
0.254149,0.001197,0.001332,0.030432,0.000719,0.000758,0.000368,0.009003,0.001119
0.517821,0.00207,0.001816,0.066861,0.000986,0.000932,0.00043,0.015515,0.001429
0.765117,0.003712,0.002515,0.148518,0.001445,0.00115,0.000512,0.02327,0.001828
0.908749,0.006869,0.003446,0.299778,0.002107,0.001369,0.000599,0.042723,0.002318
0.958204,0.013212,0.00488,0.526812,0.00316,0.001613,0.000704,0.066556,0.00303
0.977393,0.02717,0.007024,0.764443,0.004744,0.001859,0.000814,0.124269,0.004011
0.98379,0.058606,0.010441,0.905473,0.007059,0.002172,0.000947,0.196006,0.005398
0.989052,0.130876,0.016247,0.947949,0.0109,0.002488,0.001085,0.323232,0.007194
0.986713,0.27137,0.025513,0.950823,0.017346,0.002881,0.001222,0.472496,0.011124
0.993683,0.493542,0.041451,0.947418,0.028332,0.003277,0.00136,0.598302,0.016985
0.993137,0.723971,0.070551,0.951831,0.048191,0.003772,0.001546,0.714816,0.026321
1,0.85751,0.123444,0.962705,0.084363,0.004271,0.001745,0.776009,0.042756
0.996969,0.894222,0.21168,0.975075,0.145365,0.004898,0.001964,0.816555,0.06922
0.98278,0.903034,0.353885,0.984173,0.249733,0.005528,0.002187,0.831881,0.115351
0.972692,0.910928,0.545856,0.983613,0.403526,0.006421,0.002439,0.837994,0.182833
0.905808,0.90988,0.741205,0.983434,0.582623,0.007319,0.002696,0.848975,0.316333
0.745606,0.899475,0.865225,0.982911,0.745037,0.008459,0.00301,0.861668,0.45703
0.471329,0.897977,0.927396,0.973636,0.890315,0.009606,0.003339,0.862705,0.596852
0.226412,0.889667,0.954627,0.959441,0.960215,0.010989,0.003733,0.85964,0.772118
0.09286,0.883542,0.954163,0.955641,0.986833,0.012372,0.004141,0.858532,0.862394
