"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
5.72652e-05,2.76275e-05,4.43604e-05,6.11526e-05,7.10921e-05,3.60824e-05,6.04905e-05,0.000536466,0.000144105,0.000551191,0.000261041,1.41524e-05,0.000297943,0.000318725,0.000404561,1.62493e-05,4.83925e-06,4.06381e-06,0.000133695,0.000132201
2.1965e-05,2.13379e-05,1.84637e-05,8.0064e-05,5.46953e-05,3.2357e-05,3.99607e-05,0.00025808,0.000156169,0.000433501,0.000221131,3.6641e-06,0.000283684,0.000164353,0.000243581,2.371e-05,1.60633e-06,1.01595e-06,6.52138e-05,5.47299e-05
1.96595e-05,2.28732e-05,1.2404e-05,3.47345e-05,1.62694e-05,1.08229e-05,2.27949e-05,0.000187908,7.02798e-05,0.000297311,0.000150339,3.74496e-06,0.000304559,0.000175597,0.000123366,0.000258986,1.86453e-06,1.01595e-06,3.29767e-05,2.65853e-05
1.97818e-05,1.82181e-05,1.08575e-05,4.508e-05,2.37057e-05,8.3964e-06,3.66159e-05,0.000147776,0.000135192,0.000205335,9.22961e-05,0.000463271,0.000183719,0.000119499,0.000124056,6.50307e-05,4.34061e-05,2.03191e-06,4.65258e-05,4.10652e-05
1.24324e-05,1.18523e-05,1.95334e-05,7.66346e-06,2.0247e-05,1.02461e-05,1.16862e-05,8.90606e-05,7.61387e-05,0.000100111,6.93872e-05,0.00228118,0.00013888,0.00018155,0.000103609,8.14807e-05,0.000424505,4.06381e-06,0.000473154,2.97138e-05
0.000144142,1.15995e-05,0.000127405,1.4968e-05,1.55861e-05,7.18154e-06,1.77121e-05,0.000144975,5.49441e-05,0.000139751,0.000103704,0.00459698,0.000165196,0.0013973,9.95762e-05,0.000143079,0.00259219,8.12763e-06,0.000421982,6.5879e-05
0.00153631,8.36497e-06,4.94296e-05,1.15004e-05,1.24594e-05,6.23837e-06,2.51831e-05,7.99208e-05,7.51884e-05,0.000139881,8.54492e-05,0.0010318,9.25343e-05,0.000122377,7.758e-05,0.000187813,1.45914e-06,3.14946e-05,0.000328861,0.000169955
0.00375005,1.30316e-05,7.17735e-05,1.25647e-05,1.37167e-05,4.59711e-06,1.61998e-05,0.000103472,4.39977e-05,0.000128225,3.77924e-05,0.00192264,7.10702e-05,0.00042239,6.56866e-05,0.000339769,8.2689e-06,1.93031e-05,0.0004742,0.000616739
0.00109174,6.5572e-06,8.34513e-05,1.13223e-05,8.29184e-06,3.16785e-06,6.69113e-06,7.35278e-05,3.8561e-05,0.00011747,3.01901e-05,0.00292423,9.72333e-05,0.000799102,0.00010804,0.00045087,1.85972e-06,1.82872e-05,0.000587672,0.000315933
0.000671996,4.78042e-05,4.00204e-05,1.06906e-05,1.16577e-05,2.58815e-06,7.07483e-06,3.59061e-05,4.77929e-05,7.67661e-05,3.04183e-05,0.00409602,8.18349e-05,0.000288076,6.02615e-05,0.000743413,0.000186212,2.03191e-06,0.000861257,0.000452368
0.000979379,8.78144e-05,2.96627e-05,6.7283e-06,6.52241e-06,5.44044e-06,6.08916e-06,5.45109e-05,3.42226e-05,8.12374e-05,3.12393e-05,0.00559592,6.59438e-05,0.00022991,3.7497e-05,0.00111233,0.000502946,2.03191e-06,0.00181258,0.000744534
0.0015824,0.000141136,6.56647e-05,7.39275e-06,9.41205e-06,4.47381e-06,5.72172e-06,9.15334e-05,3.52119e-05,6.40416e-05,4.15683e-05,0.0074338,5.22247e-05,0.000294636,0.000113562,0.00215808,0.000830951,1.01595e-06,0.00337911,0.00135374
0.00290369,0.000203361,0.000214465,8.92748e-06,5.34821e-06,3.7246e-06,7.88702e-06,3.68704e-05,3.31833e-05,6.33473e-05,2.78997e-05,0.00938981,4.44938e-05,0.000318929,0.00196864,0.00304024,0.000441793,1.01595e-06,0.00725756,0.00351132
0.0021421,0.000364824,0.000165336,5.01341e-06,2.88994e-06,2.65187e-06,3.29704e-06,4.43678e-05,3.43797e-05,4.25357e-05,2.8752e-05,0.0119033,4.76805e-05,0.000381074,0.00123476,0.00560942,0.000732878,1.32074e-05,0.0161996,0.0134802
0.00237502,0.000485954,0.00029838,6.49009e-06,4.77757e-06,2.37969e-06,5.25951e-06,4.26242e-05,2.07314e-05,6.14073e-05,2.78734e-05,0.0146036,3.64763e-05,0.000495929,0.00244732,0.00777441,0.00112474,1.01595e-06,0.0731352,0.0481175
0.00237502,0.000682194,0.000400835,1.11e-05,6.82033e-06,1.9543e-06,5.88315e-06,3.98524e-05,1.47256e-05,3.01243e-05,2.138e-05,0.0177924,4.01578e-05,0.000537689,0.000315458,0.0139018,0.00160214,1.01595e-06,0.243525,0.136758
0.00285216,0.00120268,0.000597802,3.64879e-06,6.86658e-06,3.1141e-06,5.26093e-06,4.37826e-05,2.16407e-05,5.00355e-05,1.18306e-05,0.0214855,4.47864e-05,0.000953406,0.00048059,0.0187724,0.00233662,1.01595e-06,0.495634,0.293207
