"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
0.0017757417,0.0103154286,0.0144818123,0.001415212,0.0283578563,0.0017108821,0.0004589869,0.0006725868,0.0003009662,0.0166295274,0.000238032,6.934e-06,0.000639264
0.0040730606,0.0300419332,0.0342225066,0.0259023812,0.123693367,0.0546715255,0.011720097,0.0038885611,0.0015721743,0.0611185711,5.4011e-05,6.804e-06,0.001022905
0.0036261428,0.0268758906,0.0734633483,0.1165117751,0.3937877389,0.258066763,0.0521971523,0.0002895595,0.0024988581,0.1740709415,3.0555e-05,8.224e-06,0.002884721
0.0035151989,0.0241431504,0.1544484312,0.3908861621,0.7611307075,0.6472209841,0.1656173261,0.0070296398,0.0133203674,0.3894645448,2.8606e-05,2.8105e-05,0.003997454
0.0057291626,0.0202100643,0.3166142474,0.7495934206,0.9710850185,0.8921899861,0.3690335547,0.0175239146,0.0261486576,0.6645914977,7.6414e-05,3.784e-05,0.006597118
0.0037802919,0.0226934891,0.5532227874,0.9448580506,0.9988952324,0.9023287656,0.6368545322,0.0323111107,0.0526047927,0.874541137,0.000109542,9.0746e-05,0.007659826
0.0026367322,0.0245640874,0.7485940593,0.9801117305,1,0.9150876755,0.8611963826,0.0532866096,0.1077970931,0.9369598782,8.8112e-05,0.000147452,0.00800413
0.0012621127,0.0166670054,0.8489030561,0.994063086,0.9941225781,0.9411584587,0.9700289706,0.0829988521,0.2216075475,0.9675101435,0.000124276,0.000251399,0.008539692
0.001987583,0.0214131324,0.8977221571,1,0.9832178888,0.9629999317,0.9911960153,0.1274850239,0.3972162797,0.989339103,0.000175866,0.000480203,0.009300309
0.0013689131,0.0161442207,0.9215367985,0.9954547474,0.9670409263,0.9751048116,0.9989792118,0.1959106518,0.609868852,0.9951268957,0.000334017,0.000569537,0.010001938
0.001250444,0.0213072084,0.9257284542,0.9905277167,0.9484738859,0.9770217037,1,0.3024632319,0.816588834,1,0.000371868,0.000662261,0.010972178
0.0004634544,0.0184660932,0.911226879,0.9773347621,0.92714833,0.9873625143,0.97725155,0.4355395365,0.9322445021,0.9784576241,0.000448739,0.000910566,0.012089456
0.000814293,0.0181850173,0.8881892372,0.9405598818,0.9037245839,1,0.9257238515,0.5714163663,0.9721003289,0.9806911814,0.000658249,0.001166089,0.013364144
0.0013764315,0.0176790546,0.8652375558,0.8789495594,0.8861471272,0.9888027713,0.8660580395,0.6976670078,0.9754548221,0.9922335028,0.001089206,0.001684036,0.015017309
0.001485086,0.0191148258,0.8471818702,0.8162938401,0.8672374526,0.9717991614,0.819696105,0.8030385186,0.9753804846,0.9879837945,0.00196845,0.00245816,0.01712566
0.0018237347,0.0192464271,0.8387572011,0.7734595162,0.7907531914,0.9012673889,0.7940767356,0.8911574368,0.9732820502,0.9942831257,0.003736281,0.00356747,0.01978032
0.0016268175,0.0273957448,0.8445908122,0.7544876559,0.5884033151,0.6067239131,0.7911102891,0.9528458366,0.9760782807,0.9834804088,0.008016927,0.005345161,0.023335884
0.0043920618,0.0425553083,0.8621965328,0.7599153102,0.2633483264,0.2052022676,0.8043155231,0.9889416053,0.9803495462,0.9782001338,0.018845345,0.008317784,0.027667597
0.0290080985,0.0722982955,0.8883871357,0.7826342972,0.0567542228,0.0267568984,0.819027212,1,0.9869092763,0.9502336748,0.044655923,0.012628433,0.033215941
0.1187459333,0.1537432221,0.9244323554,0.8101689005,0.0061883342,6.91660423600786e-310,0.825712924,0.9884065283,0.990874648,0.952996037,0.101545368,0.018996334,0.040217377
0.3238750578,0.3279922499,0.9601797404,0.8361297488,6.91660423610272e-310,6.91660423611537e-310,0.8201182863,0.9638921606,0.9974181767,0.9224030818,0.200854803,0.027780618,0.048882662
0.5728192068,0.5533678778,0.9868551648,0.8612542373,6.91660423621023e-310,6.91660423621813e-310,0.7922219513,0.9420796741,0.9998467327,0.8557382798,0.342389339,0.03958367,0.059642173
0.7147274938,0.7101116626,1,0.8860910588,6.91660423631774e-310,6.91660423632564e-310,0.7205455927,0.9369464268,0.9993914145,0.7097022747,0.506471542,0.054865088,0.073175151
0.7619677784,0.7528517881,0.9986008016,0.9113876664,6.9166042364205e-310,6.91660423642841e-310,0.5876779436,0.9422734286,0.9958792841,0.4642954185,0.662498209,0.074929768,0.090534716
0.7892970164,0.75232691,0.9807647172,0.9340514635,6.91660421062474e-310,6.91660421063265e-310,0.4143035535,0.9539571784,0.9954122764,0.215384267,0.783168494,0.101069914,0.111470124
0.8086238659,0.7566808068,0.9452208918,0.9504206327,6.91660421072751e-310,6.91660421073541e-310,0.2308881689,0.9682889561,1,0.0653412056,0.861210463,0.135475748,0.13690299
0.8108938153,0.763269482,0.8981778041,0.9592573018,6.91660421083502e-310,6.91660421084292e-310,0.0985028249,0.9796654937,0.9964076209,0.0162559612,0.910000298,0.182597282,0.167810536
0.824198756,0.7623942504,0.8558032328,0.9603955507,6.91660421093778e-310,6.91660421094569e-310,0.0273655114,0.9854444043,0.9235943288,6.91660421097731e-310,0.942126255,0.247275543,0.203460906
0.8541581072,0.7852515025,0.8184173417,0.9591339455,6.91660421104529e-310,6.91660421105319e-310,0.00516235,0.9859268059,0.7413768415,6.91660421108481e-310,0.962015449,0.330736144,0.242871255
0.8707908767,0.8154666877,0.7886204757,0.9580901283,6.91660421114806e-310,6.91660421115596e-310,6.91660421116387e-310,0.9839118115,0.4896597089,6.91660421118758e-310,0.973750495,0.429690906,0.284898317
0.8873109694,0.8617917559,0.7646065328,0.9552745886,6.91660421125556e-310,6.91660421126347e-310,6.91660421127137e-310,0.9779390303,0.2502064301,6.91660421129509e-310,0.981720971,0.537634456,0.327177957
0.9261992423,0.8928259918,0.7496374458,0.943764654,6.91660421135833e-310,6.91660421136623e-310,6.91660421137414e-310,0.9772277136,0.1122124591,6.91660421139785e-310,0.987945142,0.647173334,0.36840376
