"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
0.006797798,0.001893306,0.001849077,0.005090312,0.010471827,0.017433807,0.010282026,0.000386696,0.001661751,0.012121122,2.4519e-05,1.15e-05,0.000227567
0.01099643,0.019440751,0.015481298,0.026897029,0.057252544,0.105812957,0.037427714,0.003018401,0.01602581,0.046022418,0.000136201,2.6996e-05,0.000739283
0.004208363,0.020059028,0.036661939,0.12087986,0.214724996,0.386050533,0.112026989,0.01669158,0.032253895,0.151408217,0.000124629,8.1157e-05,0.001656775
0.006568034,0.014109631,0.081181302,0.33742273,0.547189415,0.782313159,0.257953812,0.028340486,0.073411273,0.358642184,8.8936e-05,0.000169507,0.003019587
0.005883123,0.015612858,0.169521526,0.603624689,0.871043978,0.905953099,0.478980823,0.0502885,0.168937582,0.606574394,0.000124168,0.000273428,0.004589377
0.00713011,0.015448868,0.333499478,0.810967523,0.968446586,0.916416606,0.730216783,0.08626388,0.345506138,0.837342317,9.9355e-05,0.000343776,0.005924935
0.004333651,0.017034152,0.587551283,0.91573833,0.99124182,0.92333441,0.912510408,0.149596686,0.569417239,0.933378313,0.000139099,0.000459515,0.007534774
0.006263537,0.013311359,0.810898276,0.92605288,1,0.932013378,0.971721033,0.258428566,0.79634996,0.941428569,0.000157557,0.000651677,0.008748008
0.004393687,0.014462036,0.914486774,0.92083242,0.99509331,0.947550036,0.964616097,0.425108406,0.937581155,0.95729331,0.000192392,0.0008223,0.010265481
0.00253157,0.009592091,0.945520385,0.911237119,0.987602081,0.965839591,0.955734525,0.631697563,0.980942645,0.989803625,0.00025967,0.001076746,0.012236179
0.000621707,0.014500694,0.949175317,0.902005739,0.979408704,0.978552758,0.964925586,0.803109115,0.987241334,0.997444519,0.000322212,0.001428776,0.014593479
0.002117729,0.011159264,0.943501504,0.897081513,0.970910946,0.991319723,0.986223289,0.904984654,0.994409463,1,0.00034665,0.001958681,0.017458937
0.003175796,0.013332524,0.928333429,0.899066029,0.959528083,1,1,0.939674653,0.998963959,0.9863781,0.000368979,0.002660821,0.021063245
0.005213085,0.01355731,0.912819616,0.900672338,0.94236861,0.999955845,0.998046627,0.944958731,0.999788107,0.974191899,0.000547142,0.003682001,0.025428056
0.003387375,0.01426,0.901482543,0.902488081,0.926720132,0.971267313,0.98393444,0.948238826,1,0.958968621,0.001050938,0.005217308,0.03060944
0.00258671,0.014717634,0.900858652,0.906886173,0.894557475,0.81917496,0.96569621,0.963880684,0.994482469,0.973776634,0.00218105,0.007572684,0.037234457
0.002384167,0.015989541,0.907289434,0.915610562,0.767248071,0.467395748,0.947277433,0.979861632,0.987807181,0.950411873,0.004790717,0.011246256,0.045771325
0.004595227,0.030654247,0.922649114,0.927756371,0.504134435,0.094120897,0.927083998,0.991635585,0.983157165,0.94578786,0.011310302,0.01713141,0.056362502
0.012990945,0.055432753,0.942932043,0.941055569,0.180610636,0.009834009,0.90976539,0.996362309,0.979826684,0.909973936,0.026613248,0.026703068,0.070016996
