"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
2.81719056971497e-08,2.37776411893265e-08,1.65316293987416e-08,1.74166654431929e-08,1.50210901495029e-08,1.63831668231751e-08,1.3091007389221e-08,9.18551190665085e-09,1.02175814475913e-08,1.2102240987133e-08,5.66829463366503e-08,2.28748877617591e-08,2.16609421954672e-07,8.55265440691255e-08,6.27430409849694e-08,4.83777533588636e-08,4.39835972088076e-08,4.1540634043713e-08,3.60664813570111e-08,3.00457543289667e-08,2.90825763471503e-08
4.66386822495224e-08,4.27401154468043e-08,2.78780447615645e-08,2.5069764930663e-08,2.24791083525133e-08,2.35806858484011e-08,2.83040968440673e-08,2.39541364521756e-08,1.90716278325453e-08,2.24450484864747e-08,1.09052443519886e-07,5.66541089597195e-08,7.98209839558695e-07,1.45390714578753e-07,1.08546942101384e-07,8.4829444801926e-08,7.72705490703629e-08,7.32382190449243e-08,6.37229149447194e-08,5.34028394838515e-08,4.80539412706094e-08
7.66452572520393e-08,7.60731566629147e-08,4.6652921525947e-08,3.59521834525367e-08,3.3488504413981e-08,3.38149312995029e-08,6.01928036303434e-08,6.08517467526326e-08,3.52017579530184e-08,4.11668743538485e-08,2.06901432875384e-07,1.36830209385153e-07,2.76476748695131e-06,2.44934540205577e-07,1.8601232909532e-07,1.47296233876659e-07,1.34428375986317e-07,1.27868958088584e-07,1.1150760315104e-07,9.4008434814441e-08,7.88230636317167e-08
1.25037914244786e-07,1.34080721636565e-07,7.74770114730927e-08,5.13676106095318e-08,4.96656120674288e-08,4.83123514527506e-08,1.25909849657546e-07,1.50601991322219e-07,6.42529585093143e-08,7.46718100685939e-08,3.87126704026741e-07,3.22266373586899e-07,8.99849874258507e-06,4.08933573226022e-07,3.15756892632635e-07,2.53278955142378e-07,2.31600736810833e-07,2.21092633978515e-07,1.93261911363152e-07,1.63909376738047e-07,1.28355040374117e-07
2.02499023771452e-07,2.34018926903445e-07,1.27687584949854e-07,7.31216331928408e-08,7.33262623953124e-08,6.87711079194742e-08,2.59058822393854e-07,3.63169959882725e-07,1.1597985150047e-07,1.33953420800026e-07,7.1436841153627e-07,7.40175039481983e-07,2.75133206741884e-05,6.76637171181937e-07,5.30962552147685e-07,4.31309928217161e-07,3.95169763578451e-07,3.78603800754718e-07,3.317684047488e-07,2.83066384554331e-07,2.07499269322398e-07
3.25564258218947e-07,4.04478214477422e-07,2.08839836091101e-07,1.03704174136965e-07,1.07773907132014e-07,9.75333307451365e-08,5.24292261161463e-07,8.53438450576505e-07,2.07036961796803e-07,2.37658440482846e-07,1.30014711885451e-06,1.6579074326728e-06,7.90154372225516e-05,1.10961173049873e-06,8.84486098584603e-07,7.27419603663293e-07,6.6779762164515e-07,6.42124405203504e-07,5.64139327252633e-07,4.8421082965433e-07,3.33021631604424e-07
5.19625814376923e-07,6.92323624207347e-07,3.38978281888558e-07,1.46535526823754e-07,1.57694643121431e-07,1.37817181666833e-07,1.04374532838847e-06,1.95472512132255e-06,3.65515347766632e-07,4.17028701349409e-07,2.3339405288425e-06,3.62176751877996e-06,0.000213172897929326,1.8034947970591e-06,1.45967010212189e-06,1.21509742712078e-06,1.11776182620815e-06,1.07869982457487e-06,9.50209425809589e-07,8.20454488348332e-07,5.30625925421191e-07
8.23364985080843e-07,1.17355125439644e-06,5.46047090210777e-07,2.06294259896822e-07,2.29706728305246e-07,1.94023883182126e-07,2.04398747882806e-06,4.36445679952158e-06,6.38220114979049e-07,7.23782136446971e-07,4.13280167776975e-06,7.71716167946579e-06,0.000540603650733829,2.90539628622355e-06,2.38659413298592e-06,2.01046873371524e-06,1.85321243861836e-06,1.79496100827237e-06,1.58543684847245e-06,1.3770945770375e-06,8.39412109598925e-07
1.29523493797024e-06,1.97008262148302e-06,8.72955467912107e-07,2.89354716187518e-07,3.33108943095795e-07,2.72152561819894e-07,3.93770915252389e-06,9.50142475630855e-06,1.10220980786835e-06,1.2424902706698e-06,7.21929336577887e-06,1.60412782861386e-05,0.0012907525524497,4.63942842543474e-06,3.86626243198407e-06,3.29513432006934e-06,3.04371837955841e-06,2.95876043310273e-06,2.62056778410624e-06,2.28969270210655e-06,1.31837089156761e-06
2.02286673811614e-06,3.27541283695609e-06,1.38504594815458e-06,4.04366375050813e-07,4.80902542676631e-07,3.80345085204681e-07,7.46383693694952e-06,2.0172612494207e-05,1.8828045540431e-06,2.10980670090066e-06,1.24417938422994e-05,3.2535277568968e-05,0.00291047757491469,7.34372179067577e-06,6.20617720414884e-06,5.35022263647988e-06,4.95243421028135e-06,4.83164149045479e-06,4.29119063483086e-06,3.77143760488252e-06,2.05583387469233e-06
