"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
1.28821198153162e-09,1.06476460981497e-09,9.25103826876494e-10,1.00441899242298e-09,9.19620990469383e-10,1.00900132693482e-09,9.2547242092067e-10,1.19249299324053e-09,1.2959071593599e-09,1.30147626009602e-09,2.48920294099175e-11,1.24665888723285e-09,4.69131122837752e-10,1.98202662615721e-10,1.16561726937192e-09,3.6581897511212e-09,4.21952917051272e-09,4.16750589593562e-09,2.33980990138605e-09,1.46588263749692e-09,1.35557753910831e-09
2.35934027870144e-09,2.14715223378903e-09,1.70196057247551e-09,1.5318727397684e-09,1.46993983651811e-09,1.53820167714258e-09,2.2435422408762e-09,3.40422579014898e-09,2.56690690925154e-09,2.57728238750588e-09,6.87439896673858e-11,3.54985818518117e-09,3.02090175097192e-09,4.26728735680726e-10,2.35750974297844e-09,7.09809322430033e-09,8.13737255356273e-09,8.05072097875836e-09,4.59992621770766e-09,2.92720736538854e-09,2.47694154076328e-09
4.28462820778464e-09,4.28148494435732e-09,3.1052684867916e-09,2.32705077429785e-09,2.33810104610654e-09,2.33568764329561e-09,5.34409405616998e-09,9.48270262313145e-09,5.03196373458081e-09,5.05112041082612e-09,1.85794643559056e-10,9.86491599519468e-09,1.79969532609903e-08,9.07201092026355e-10,4.71431116366716e-09,1.36279538764938e-08,1.55299915149953e-08,1.53890233889342e-08,8.94483598301576e-09,5.78034509146619e-09,4.48791670493165e-09
7.71554287126719e-09,8.44239078645614e-09,5.61886004390999e-09,3.52099926992366e-09,3.70089758838787e-09,3.53267992636575e-09,1.25086980773403e-08,2.57797143632388e-08,9.76301350874564e-09,9.79808412182592e-09,4.914368356701e-10,2.67605333448273e-08,9.91960149576698e-08,1.90443305569943e-09,9.32078592086327e-09,2.58901398098033e-08,2.93309252441532e-08,2.91081008185756e-08,1.72050693691972e-08,1.1288035395296e-08,8.0635222943215e-09
1.37772522279533e-08,1.64623941145692e-08,1.00834665062166e-08,5.30652544128429e-09,5.82955861361256e-09,5.32214539106235e-09,2.87734565063147e-08,6.84101166825712e-08,1.87488264913327e-08,1.88125870437261e-08,1.27218535705964e-09,7.08753020717268e-08,5.05810817230668e-07,3.9476666380267e-09,1.82202324339187e-08,4.86689479828328e-08,5.4821278183681e-08,5.44811200597906e-08,3.27351799001008e-08,2.18002753626934e-08,1.4367055101161e-08
2.43956215228991e-08,3.17461470444869e-08,1.79470713845831e-08,7.96600296837369e-09,9.13809916625041e-09,7.98666022205907e-09,6.50497113952042e-08,1.77214502627976e-07,3.56393066169858e-08,3.57543505913327e-08,3.22320659051911e-09,1.83293806799156e-07,2.38557390730421e-06,8.08030087284806e-09,3.52144127191423e-08,9.05269672557552e-08,1.01400161156562e-07,1.00904422595249e-07,6.16108479789546e-08,4.16387173629573e-08,2.53856988763346e-08
4.28372537442101e-08,6.05440106937749e-08,3.16816795020714e-08,1.19113323648889e-08,1.42550682369347e-08,1.19383871677314e-08,1.44540649671399e-07,4.48154253263056e-07,6.70603554908666e-08,6.72673010626568e-08,7.99251687055858e-09,4.62885310525962e-07,1.04029804788297e-05,1.63315156953558e-08,6.72897684239615e-08,1.66613560281803e-07,1.85603028057812e-07,1.84927642976618e-07,1.14706921294783e-07,7.86571519029167e-08,4.44828636148031e-08
7.45935295753952e-08,1.14193881017854e-07,5.54705366084818e-08,1.77408274737445e-08,2.21301039715627e-08,1.77758057162691e-08,3.15669609562974e-07,1.10632277028344e-06,1.24909561804998e-07,1.25280564589048e-07,1.93969391659721e-08,1.14144722829224e-06,4.19204225181602e-05,3.25936184708553e-08,1.27126256188603e-07,3.03413997926327e-07,3.3618988481976e-07,3.35366507897561e-07,2.11259816751408e-07,1.46956253388453e-07,7.73005979226582e-08
1.28811478816715e-07,2.13015809436001e-07,9.63294439770834e-08,2.63198280947563e-08,3.41901369438347e-08,2.63639901021406e-08,6.77595892284444e-07,2.66562642536883e-06,2.3031773821458e-07,2.30981029858413e-07,4.60715412486934e-08,2.74811554845655e-06,0.000155950110638514,6.42301714037785e-08,2.37450620943491e-07,5.46693399883225e-07,6.02587022058287e-07,6.01803151312197e-07,3.84892473448417e-07,2.71553091124588e-07,1.33217980646805e-07
2.20590479216298e-07,3.92989448982917e-07,1.6592235851931e-07,3.8894665266298e-08,5.25684171748253e-08,3.89486132235106e-08,1.4295413848231e-06,6.26722612651065e-06,4.20397611833323e-07,4.21581546561356e-07,1.07094471957225e-07,6.45803675070056e-06,0.000534806167706847,1.24979791849e-07,4.38468134689174e-07,9.74582690105308e-07,1.06875427263731e-06,1.06855077319779e-06,6.9366672050819e-07,4.96291306717467e-07,2.27686157927565e-07
