"band1","band2","band3","band4","band5","band6"
410,500,580,730,1503,2000
411,501,590,735,1504,2001
412,502,600,740,1506,2003
413,503,605,745,1508,2005
414,504,610,750,1510,2007
415,505,611,751,1512,2009
416,506,612,752,1514,2011
417,507,613,753,1515,2013
418,508,614,754,1517,2015
419,509,615,755,1519,2017
420,510,616,756,1521,2018
421,511,617,757,1523,2020
422,512,618,758,1525,2022
423,513,619,759,1526,2024
424,514,620,760,1528,2026
425,515,621,761,1530,2028
426,516,622,762,1532,2030
427,517,623,763,1534,2032
428,518,624,764,1536,2034
429,519,625,765,1538,2035
430,520,626,766,1540,2037
431,521,627,767,1542,2039
432,522,628,768,1543,2041
433,523,629,769,1545,2043
434,524,630,770,1547,2045
435,525,631,771,1549,2047
436,526,632,772,1551,2049
437,527,633,773,1553,2051
438,528,634,774,1555,2052
439,529,635,775,1557,2054
440,530,636,776,1559,2056
441,531,637,777,1561,2058
442,532,638,778,1563,2060
443,533,639,779,1565,2062
444,534,640,780,1567,2064
445,535,641,781,1569,2066
446,536,642,782,1571,2067
447,537,643,783,1572,2069
448,538,644,784,1574,2071
449,539,645,785,1576,2073
450,540,646,786,1578,2075
451,541,647,787,1580,2077
452,542,648,788,1582,2079
453,543,649,789,1584,2081
454,544,650,790,1586,2083
455,545,651,791,1588,2085
456,546,652,792,1590,2086
457,547,653,793,1592,2088
458,548,654,794,1594,2090
459,549,655,795,1596,2092
460,550,656,796,1598,2094
461,551,657,797,1600,2096
462,552,658,798,1602,2099
463,553,659,799,1604,2100
464,554,660,800,1606,2102
465,555,661,801,1608,2104
466,556,662,802,1610,2106
467,557,663,803,1613,2108
468,558,664,804,1615,2110
469,559,665,805,1617,2112
470,560,666,806,1619,2114
471,561,667,807,1621,2116
472,562,668,808,1623,2117
473,563,669,809,1625,2119
474,564,670,810,1627,2121
475,565,671,811,1629,2123
476,566,672,812,1631,2125
477,567,673,813,1633,2127
478,568,674,814,1635,2129
479,569,675,815,1637,2131
480,570,676,816,1639,2133
481,571,677,817,1641,2135
482,572,678,818,1643,2136
483,573,679,819,1645,2138
484,574,680,820,1647,2140
485,575,681,821,1649,2142
486,576,682,822,1651,2144
487,577,683,823,1653,2146
488,578,684,824,1656,2148
489,579,685,825,1658,2150
490,580,686,826,1660,2151
491,581,687,827,1662,2153
492,582,688,828,1664,2155
493,583,689,829,1666,2157
494,584,690,830,1668,2159
495,585,691,831,1670,2161
496,586,692,832,1672,2163
497,587,693,833,1674,2165
498,588,694,834,1676,2166
499,589,695,835,1678,2168
500,590,696,836,1680,2170
501,591,697,837,1682,2172
502,592,698,838,1684,2174
503,593,699,839,1687,2176
504,594,700,840,1689,2178
505,595,701,841,1691,2180
