"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
412,439,538,646,695,731,769,760,837,932,1337,1539,2078
413,440,539,647,696,732,770,761,847,933,1338,1540,2079
414,441,540,648,697,733,771,773,848,934,1339,1541,2080
415,442,541,649,698,734,772,774,849,935,1340,1542,2081
416,443,542,650,699,735,773,775,850,936,1341,1543,2082
417,444,543,651,700,736,774,776,851,937,1342,1544,2083
418,445,544,652,701,737,775,777,852,938,1343,1545,2084
419,446,545,653,702,738,776,778,853,939,1344,1546,2085
420,447,546,654,703,739,777,779,854,940,1345,1547,2086
421,448,547,655,704,740,778,780,855,941,1346,1548,2087
422,449,548,656,705,741,779,781,856,942,1347,1549,2088
423,450,549,657,706,742,780,782,857,943,1348,1550,2089
424,451,550,658,707,743,781,783,858,944,1349,1551,2090
425,452,551,659,708,744,782,784,859,945,1350,1552,2091
426,453,552,660,709,745,783,785,860,946,1351,1553,2092
427,454,553,661,710,746,784,786,861,947,1352,1554,2093
428,455,554,662,711,747,785,787,862,948,1353,1555,2094
429,456,555,663,712,748,786,788,863,949,1354,1556,2095
430,457,556,664,713,749,787,789,864,950,1355,1557,2096
431,458,557,665,714,6.91660423390749e-310,788,790,865,951,1356,1558,2097
432,459,558,666,6.91660423392646e-310,6.91660423392804e-310,789,791,866,952,1357,1559,2098
433,460,559,667,6.91660423394701e-310,6.91660423394859e-310,790,792,867,953,1358,1560,2099
434,461,560,668,6.91660423396756e-310,6.91660423396914e-310,791,793,868,954,1359,1561,2100
435,462,561,669,6.91660423398812e-310,6.9166042339897e-310,792,794,869,955,1360,1562,2101
436,463,562,670,6.91660423400867e-310,6.91660423401025e-310,793,795,870,956,1361,1563,2102
437,464,563,671,6.91660423402922e-310,6.9166042340308e-310,794,796,871,957,1362,1564,2103
438,465,564,672,6.91660423404978e-310,6.91660423405136e-310,795,797,872,958,1363,1565,2104
439,466,565,673,,,796,798,873,,1364,1566,2105
440,467,566,674,,,797,799,874,,1365,1567,2106
441,468,567,675,6.91660428662389e-310,6.9166042866318e-310,6.9166042866397e-310,800,875,6.91660428666342e-310,1366,1568,2107
442,469,568,676,6.91660423412329e-310,6.9166042341312e-310,6.9166042341391e-310,801,876,6.91660423415491e-310,1367,1569,2108
443,470,569,677,6.91660423421815e-310,6.91660423422606e-310,6.91660423423396e-310,802,877,6.91660423425768e-310,1368,1570,2109
444,471,570,678,6.91660423432566e-310,6.91660423433357e-310,6.91660423434147e-310,803,878,6.91660423436519e-310,1369,1571,2110
445,472,571,679,6.91660423442843e-310,6.91660423443633e-310,6.91660423444424e-310,804,879,6.91660423446795e-310,1370,1572,2111
446,473,572,680,6.91660423453594e-310,6.91660423454384e-310,6.91660423455175e-310,805,880,6.91660423457546e-310,1371,1573,2112
447,474,573,681,6.9166042346387e-310,6.91660423464661e-310,6.91660423465451e-310,806,881,6.91660423467823e-310,1372,1574,2113
448,475,574,682,6.91660423474621e-310,6.91660423475412e-310,6.91660423476202e-310,807,6.91660423477783e-310,6.91660423478574e-310,1373,1575,2114
449,476,575,683,6.91660423484898e-310,6.91660423485688e-310,6.91660423486479e-310,808,6.9166042348806e-310,6.9166042348885e-310,1374,1576,2115
450,477,576,684,6.91660423495649e-310,6.91660423496439e-310,6.9166042349723e-310,809,6.91660423498811e-310,6.91660423499601e-310,1375,1577,2116
451,478,577,6.91660423505135e-310,6.91660423505925e-310,6.91660423506716e-310,6.91660423507506e-310,810,6.91660423509087e-310,6.91660423510352e-310,1376,1578,2117
452,479,578,6.91660423515886e-310,6.91660423516676e-310,6.91660423517467e-310,6.91660423518257e-310,811,6.91660423519838e-310,6.91660423520629e-310,1377,1579,2118
453,480,579,6.91660423526162e-310,6.91660423526953e-310,6.91660423527743e-310,6.91660423528534e-310,812,6.91660423530589e-310,6.91660423531379e-310,1378,1580,2119
454,481,580,6.91660423536913e-310,6.91660423537703e-310,6.91660423538494e-310,6.91660423539284e-310,813,6.91660423540865e-310,6.91660423541656e-310,1379,1581,2120
455,482,581,6.9166042354719e-310,6.9166042354798e-310,6.91660423548771e-310,6.91660423549561e-310,814,6.91660423551616e-310,6.91660423552407e-310,1380,1582,2121
456,483,582,6.9166042355794e-310,6.91660423558731e-310,6.91660423559521e-310,6.91660423560312e-310,815,6.91660423561893e-310,6.91660423562683e-310,1381,1583,2122
6.91660423565845e-310,484,583,6.91660423568217e-310,6.91660423569007e-310,6.91660423569798e-310,6.91660423571063e-310,816,6.91660423572644e-310,6.91660423573434e-310,1382,1584,2123
6.91660423576596e-310,485,6.91660423578177e-310,6.91660423578968e-310,6.91660423579758e-310,6.91660423580549e-310,6.91660423581339e-310,817,6.9166042358292e-310,6.91660423583711e-310,1383,1585,2124
6.91660423586873e-310,486,6.91660423588454e-310,6.91660423589244e-310,6.91660423590035e-310,6.916604235913e-310,6.9166042359209e-310,818,6.91660423593671e-310,6.91660423594462e-310,1384,1586,2125
6.91660423597624e-310,487,6.91660423599205e-310,6.91660423599995e-310,6.91660423600786e-310,6.91660423601576e-310,6.91660423602367e-310,819,6.91660423603948e-310,6.91660423604738e-310,1385,1587,2126
6.916604236079e-310,488,6.91660423609481e-310,6.91660423610272e-310,6.91660423611537e-310,6.91660423612327e-310,6.91660423613118e-310,820,6.91660423614699e-310,6.91660423615489e-310,1386,1588,2127
6.91660423618651e-310,489,6.91660423620232e-310,6.91660423621023e-310,6.91660423621813e-310,6.91660423622604e-310,6.91660423623394e-310,821,6.91660423624975e-310,6.91660423625766e-310,1387,1589,2128
6.91660423628928e-310,490,6.91660423630509e-310,6.91660423631774e-310,6.91660423632564e-310,6.91660423633355e-310,6.91660423634145e-310,822,6.91660423635726e-310,6.91660423636517e-310,1388,1590,2129
6.91660423639679e-310,491,6.9166042364126e-310,6.9166042364205e-310,6.91660423642841e-310,6.91660423643631e-310,6.91660423644422e-310,823,6.91660423646003e-310,6.91660423646793e-310,1389,1591,2130
6.91660423649955e-310,492,6.91660421061684e-310,6.91660421062474e-310,6.91660421063265e-310,6.91660421064055e-310,6.91660421064846e-310,824,6.91660421066427e-310,6.91660421067217e-310,1390,1592,2131
6.91660421070379e-310,493,6.9166042107196e-310,6.91660421072751e-310,6.91660421073541e-310,6.91660421074332e-310,6.91660421075122e-310,825,6.91660421076703e-310,6.91660421077494e-310,1391,1593,2132
6.91660421080656e-310,494,6.91660421082711e-310,6.91660421083502e-310,6.91660421084292e-310,6.91660421085083e-310,6.91660421085873e-310,826,6.91660421087454e-310,6.91660421088245e-310,1392,1594,2133
6.91660421091407e-310,495,6.91660421092988e-310,6.91660421093778e-310,6.91660421094569e-310,6.91660421095359e-310,6.9166042109615e-310,827,6.91660421097731e-310,6.91660421098521e-310,1393,1595,2134
6.91660421102157e-310,496,6.91660421103738e-310,6.91660421104529e-310,6.91660421105319e-310,6.9166042110611e-310,6.916604211069e-310,828,6.91660421108481e-310,6.91660421109272e-310,1394,1596,2135
6.91660421112434e-310,497,6.91660421114015e-310,6.91660421114806e-310,6.91660421115596e-310,6.91660421116387e-310,6.91660421117177e-310,829,6.91660421118758e-310,6.91660421119549e-310,1395,1597,2136
6.91660421123185e-310,498,6.91660421124766e-310,6.91660421125556e-310,6.91660421126347e-310,6.91660421127137e-310,6.91660421127928e-310,830,6.91660421129509e-310,6.91660421130299e-310,1396,1598,2137
6.91660421133461e-310,499,6.91660421135042e-310,6.91660421135833e-310,6.91660421136623e-310,6.91660421137414e-310,6.91660421138204e-310,831,6.91660421139785e-310,6.91660421140576e-310,1397,1599,2138
