"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
411,438,536,646,694,730,766,774,848,930,1339,1538,2065
412,439,537,647,695,731,767,775,849,931,1340,1539,2066
413,440,538,648,696,732,768,776,850,932,1341,1540,2067
414,441,539,649,697,733,769,777,851,933,1342,1541,2068
415,442,540,650,698,734,770,778,852,934,1343,1542,2069
416,443,541,651,699,735,771,779,853,935,1344,1543,2070
417,444,542,652,700,736,772,780,854,936,1345,1544,2071
418,445,543,653,701,737,773,781,855,937,1346,1545,2072
419,446,544,654,702,738,774,782,856,938,1347,1546,2073
420,447,545,655,703,739,775,783,857,939,1348,1547,2074
421,448,546,656,704,740,776,784,858,940,1349,1548,2075
422,449,547,657,705,741,777,785,859,941,1350,1549,2076
423,450,548,658,706,742,778,786,860,942,1351,1550,2077
424,451,549,659,707,743,779,787,861,943,1352,1551,2078
425,452,550,660,708,744,780,788,862,944,1353,1552,2079
426,453,551,661,709,745,781,789,863,945,1354,1553,2080
427,454,552,662,710,746,782,790,864,946,1355,1554,2081
428,455,553,663,711,747,783,791,865,947,1356,1555,2082
429,456,554,664,712,748,784,792,866,948,1357,1556,2083
430,457,555,665,713,6.91660427787459e-310,785,793,867,949,1358,1557,2084
431,458,556,666,714,6.91660427797735e-310,786,794,868,950,1359,1558,2085
432,459,557,667,6.91660427827932e-310,6.91660427828723e-310,787,795,869,951,1360,1559,2086
433,460,558,668,6.91660427838209e-310,6.91660427838999e-310,788,796,870,952,1361,1560,2087
434,461,559,669,6.9166042784896e-310,6.9166042784975e-310,789,797,871,953,1362,1561,2088
435,462,560,670,6.91660427859236e-310,6.91660427860027e-310,790,798,872,954,1363,1562,2089
436,463,561,671,6.91660427869987e-310,6.91660427870778e-310,791,799,873,955,1364,1563,2090
437,464,562,672,6.91660427880264e-310,6.91660427901766e-310,792,800,874,956,1365,1564,2091
438,465,563,673,6.91660427911252e-310,6.91660427912042e-310,793,801,875,957,1366,1565,2092
439,466,564,674,6.91660427922002e-310,6.91660427922793e-310,794,802,876,6.91660427925955e-310,1367,1566,2093
440,467,565,675,6.91660427932279e-310,6.9166042793307e-310,6.9166042793386e-310,803,877,6.91660427936232e-310,1368,1567,2094
441,468,566,676,6.91660427963267e-310,6.91660427964057e-310,6.91660427964848e-310,804,878,6.91660427967219e-310,1369,1568,2095
442,469,567,677,6.91660427973543e-310,6.91660427974334e-310,6.91660427975124e-310,805,879,6.91660427977496e-310,1370,1569,2096
443,470,568,678,6.91660427984294e-310,6.91660427985085e-310,6.91660427985875e-310,806,880,6.91660427988247e-310,1371,1570,2097
444,471,569,679,6.91660427994571e-310,6.91660427995361e-310,6.91660427996152e-310,807,6.91660427997733e-310,6.91660427998523e-310,1372,1571,2098
445,472,570,680,6.91660428025559e-310,6.91660428026349e-310,6.9166042802714e-310,808,6.91660428028721e-310,6.91660428029511e-310,1373,1572,2099
446,473,571,681,6.91660428035835e-310,6.91660428036626e-310,6.91660428037416e-310,809,6.91660428038997e-310,6.91660428039788e-310,1374,1573,2100
447,474,572,682,6.91660428046586e-310,6.91660428047377e-310,6.91660428048167e-310,810,6.91660428049748e-310,6.91660428050539e-310,1375,1574,2101
448,475,573,683,6.91660428056863e-310,6.91660428057653e-310,6.91660428058444e-310,811,6.91660428060025e-310,6.91660428060815e-310,1376,1575,2102
449,476,574,684,6.9166042808785e-310,6.91660428088641e-310,6.91660428089431e-310,812,6.91660428091012e-310,6.91660428091803e-310,1377,1576,2103
450,477,575,685,6.91660428098127e-310,6.91660428098917e-310,6.91660428099708e-310,813,6.91660428101289e-310,6.9166042810208e-310,1378,1577,2104
451,478,576,6.91660428128324e-310,6.91660428129115e-310,6.91660428129905e-310,6.91660428130696e-310,814,6.91660428132277e-310,6.91660428133067e-310,1379,1578,2105
452,479,577,6.91660428138601e-310,6.91660428139391e-310,6.91660428140182e-310,6.91660428140972e-310,815,6.91660428142553e-310,6.91660428143344e-310,1380,1579,2106
453,480,578,6.91660428169589e-310,6.91660428170379e-310,6.9166042817117e-310,6.9166042817196e-310,816,6.91660428173541e-310,6.91660428174332e-310,1381,1580,2107
454,481,579,6.91660428179865e-310,6.91660428180656e-310,6.91660428181446e-310,6.91660428182237e-310,817,6.91660428183818e-310,6.91660428185083e-310,1382,1581,2108
455,482,580,6.91660428190616e-310,6.91660428191407e-310,6.91660428192197e-310,6.91660428192988e-310,818,6.91660428194569e-310,6.91660428195359e-310,1383,1582,2109
456,483,581,6.91660428200893e-310,6.91660428201683e-310,6.91660428202474e-310,6.91660428203264e-310,819,6.91660428225556e-310,6.91660428226347e-310,1384,1583,2110
6.91660428229509e-310,484,582,6.9166042823188e-310,6.91660428232671e-310,6.91660428233461e-310,6.91660428234252e-310,820,6.91660428235833e-310,6.91660428236623e-310,1385,1584,2111
