"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
673.413024902344,699.726806640625,746.048645019531,756.095275878906,758.590148925781,762.301330566406,767.317199707031,851.199890136719,874.980712890625,889.99951171875,387.746459960938,925.0224609375,995.070068359375,402.532440185547,433.588592529297,481.068054199219,501.053161621094,551.049255371094,611.020141601563,655.866516113281,665.87353515625
673.494812011719,699.818664550781,746.128967285156,756.154846191406,758.655334472656,762.354736328125,767.433227539063,851.344848632813,875.076477050781,890.093017578125,387.864562988281,925.169006347656,995.315124511719,402.626892089844,433.683349609375,481.161407470703,501.147308349609,551.143188476563,611.114379882813,655.961853027344,665.954895019531
673.579406738281,699.913452148438,746.215454101563,756.213134765625,758.719970703125,762.410705566406,767.557250976563,851.49169921875,875.166931152344,890.186340332031,387.982666015625,925.312683105469,995.560485839844,402.720825195313,433.777984619141,481.256225585938,501.242156982422,551.23681640625,611.209167480469,656.055969238281,666.034912109375
673.658508300781,700.007446289063,746.294189453125,756.268310546875,758.781433105469,762.469604492188,767.672180175781,851.632751464844,875.264099121094,890.282165527344,388.100769042969,925.455322265625,995.805725097656,402.814819335938,433.870758056641,481.351287841797,501.336395263672,551.331848144531,611.302612304688,656.149047851563,666.119323730469
673.740478515625,700.102172851563,746.374450683594,756.322692871094,758.840759277344,762.528930664063,767.797546386719,851.781372070313,875.357971191406,890.375061035156,388.218872070313,925.602783203125,996.051147460938,402.907745361328,433.964752197266,481.445251464844,501.429870605469,551.426330566406,611.397033691406,656.2431640625,666.200256347656
673.824523925781,700.197814941406,746.460327148438,756.37939453125,758.906005859375,762.581359863281,767.910827636719,851.920593261719,875.451293945313,890.470153808594,388.337097167969,925.745544433594,996.296264648438,403.002166748047,434.059539794922,481.538543701172,501.523895263672,551.520568847656,611.491088867188,656.339050292969,666.280212402344
673.904296875,700.288635253906,746.539978027344,756.43994140625,758.970703125,762.635498046875,768.036743164063,852.068664550781,875.54736328125,890.564025878906,388.455444335938,925.892517089844,996.541076660156,403.096160888672,434.154235839844,481.633148193359,501.618774414063,551.614074707031,611.58447265625,656.4326171875,666.364929199219
673.986145019531,700.384887695313,746.619812011719,756.495056152344,759.032165527344,762.693908691406,768.149719238281,852.213195800781,875.63818359375,890.657958984375,388.573760986328,926.034973144531,996.786071777344,403.190002441406,434.247100830078,481.728332519531,501.712951660156,551.708862304688,611.679870605469,656.52587890625,666.445739746094
674.069580078125,700.481140136719,746.705078125,756.550476074219,759.091491699219,762.754150390625,768.275695800781,852.356567382813,875.734985351563,890.753540039063,388.692138671875,926.181396484375,997.030822753906,403.282867431641,434.341003417969,481.822357177734,501.806365966797,551.803588867188,611.772338867188,656.620361328125,666.525390625
674.150146484375,700.573181152344,746.785827636719,756.604675292969,759.15673828125,762.808715820313,768.3896484375,852.504333496094,875.830627441406,890.847106933594,388.810394287109,926.326171875,997.275695800781,403.377319335938,434.435821533203,481.915618896484,501.900512695313,551.897583007813,611.866333007813,656.715637207031,666.610595703125
