"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
673.243469238281,699.581970214844,745.894165039063,755.932250976563,758.440124511719,762.196716308594,767.205383300781,851.048156738281,874.806274414063,889.812866210938,387.849151611328,924.860656738281,995.021545410156,402.601287841797,433.659820556641,480.996002197266,500.983612060547,550.970092773438,610.899108886719,655.730285644531,665.726013183594
673.324096679688,699.677124023438,745.974060058594,755.987243652344,758.502685546875,762.253112792969,767.324523925781,851.196899414063,874.903381347656,889.908386230469,387.967193603516,925.007751464844,995.265808105469,402.695281982422,433.754821777344,481.091186523438,501.079406738281,551.065246582031,610.995422363281,655.820556640625,665.807983398438
673.404846191406,699.773376464844,746.056457519531,756.045837402344,758.565551757813,762.310485839844,767.445129394531,851.340393066406,875.000671386719,890.005493164063,388.08544921875,925.152038574219,995.509948730469,402.788055419922,433.848999023438,481.185363769531,501.173095703125,551.158813476563,611.085021972656,655.91748046875,665.888793945313
673.488586425781,699.862854003906,746.139343261719,756.098510742188,758.6279296875,762.363891601563,767.564270019531,851.485290527344,875.091674804688,890.095947265625,388.203857421875,925.295349121094,995.754028320313,402.882873535156,433.943511962891,481.280090332031,501.267303466797,551.25244140625,611.181945800781,656.014282226563,665.971130371094
673.569458007813,699.962219238281,746.219299316406,756.158996582031,758.69140625,762.42431640625,767.684753417969,851.632080078125,875.18603515625,890.19189453125,388.321990966797,925.438049316406,995.997985839844,402.976654052734,434.035766601563,481.372833251953,501.360290527344,551.346862792969,611.277648925781,656.102844238281,666.053100585938
673.650329589844,700.054016113281,746.302001953125,756.212524414063,758.754211425781,762.478271484375,767.803649902344,851.772705078125,875.2802734375,890.286254882813,388.440124511719,925.582763671875,996.241577148438,403.070587158203,434.130798339844,481.467987060547,501.456085205078,551.442199707031,611.368103027344,656.200317382813,666.133972167969
673.733703613281,700.148498535156,746.384033203125,756.271667480469,758.816833496094,762.537170410156,767.922912597656,851.9208984375,875.375061035156,890.379638671875,388.558197021484,925.729858398438,996.484436035156,403.163482666016,434.224975585938,481.561981201172,501.549865722656,551.535827636719,611.464233398438,656.2939453125,666.216430664063
673.814880371094,700.245300292969,746.464660644531,756.325988769531,758.879333496094,762.590270996094,768.042724609375,852.0595703125,875.471740722656,890.475280761719,388.67626953125,925.874084472656,996.729064941406,403.257995605469,434.319671630859,481.656982421875,501.644012451172,551.62939453125,611.557495117188,656.388793945313,666.298461914063
673.895690917969,700.336364746094,746.547546386719,756.383911132813,758.942749023438,762.649230957031,768.160766601563,852.208068847656,875.560363769531,890.56689453125,388.794464111328,926.020446777344,996.973754882813,403.351989746094,434.411834716797,481.749603271484,501.737152099609,551.723876953125,611.651000976563,656.483764648438,666.379333496094
673.97900390625,700.432006835938,746.628601074219,756.440551757813,759.005615234375,762.704772949219,768.281005859375,852.352783203125,875.6572265625,890.66259765625,388.912353515625,926.164001464844,997.218688964844,403.446014404297,434.506927490234,481.844665527344,501.832672119141,551.819152832031,611.7470703125,656.574096679688,666.461669921875
674.06005859375,700.52783203125,746.7099609375,756.496643066406,759.067993164063,762.762512207031,768.398864746094,852.49658203125,875.754211425781,890.759399414063,389.030029296875,926.306274414063,997.463623046875,403.538818359375,434.601043701172,481.938812255859,501.926635742188,551.912841796875,611.836975097656,656.670959472656,666.543762207031
674.141296386719,700.617919921875,746.793151855469,756.554565429688,759.130737304688,762.818542480469,768.519775390625,852.643859863281,875.845703125,890.849975585938,389.148132324219,926.450927734375,997.708251953125,403.633331298828,434.695678710938,482.033660888672,502.020782470703,552.00634765625,611.933837890625,656.768127441406,666.62451171875
674.224060058594,700.716674804688,746.873352050781,756.608215332031,759.193908691406,762.873657226563,768.636779785156,852.783569335938,875.939880371094,890.945922851563,389.266326904297,926.594848632813,997.952514648438,403.727325439453,434.787872314453,482.126342773438,502.113983154297,552.100830078125,612.029602050781,656.856689453125,666.707275390625
674.305297851563,700.808776855469,746.955383300781,756.668151855469,759.257019042969,762.933227539063,768.757446289063,852.931457519531,876.033935546875,891.039916992188,389.38427734375,926.742858886719,998.19677734375,403.821350097656,434.882965087891,482.221343994141,502.209350585938,552.196044921875,612.119995117188,656.953979492188,666.788757324219
