"wl","band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21","band22","band23","band24","band25","band26","band27","band28","band29","band30","band31","band32","band33","band34","band35","band36","band37","band38","band39","band40","band41","band42","band43","band44","band45","band46","band47","band48","band49","band50","band51","band52","band53","band54","band55","band56","band57","band58","band59","band60","band61","band62","band63","band64","band65","band66","band67","band68","band69","band70","band71","band72","band73","band74","band75","band76","band77","band78","band79","band80","band81","band82","band83","band84","band85","band86","band87","band88","band89","band90","band91","band92","band93","band94","band95","band96","band97","band98","band99","band100","band101","band102","band103","band104","band105","band106","band107","band108","band109","band110","band111","band112","band113","band114","band115","band116","band117","band118","band119","band120","band121","band122","band123","band124","band125","band126","band127","band128","band129","band130","band131","band132","band133","band134","band135","band136","band137","band138","band139","band140","band141","band142","band143","band144","band145","band146","band147","band148","band149","band150","band151","band152","band153","band154","band155","band156","band157","band158","band159","band160","band161","band162","band163","band164","band165","band166","band167","band168","band169","band170","band171","band172","band173","band174","band175","band176","band177","band178","band179","band180","band181","band182","band183","band184","band185","band186","band187","band188","band189","band190","band191","band192","band193","band194","band195","band196","band197","band198","band199","band200","band201","band202","band203","band204","band205","band206","band207","band208","band209","band210","band211","band212","band213","band214","band215","band216","band217","band218","band219","band220","band221","band222","band223","band224","band225","band226","band227","band228","band229","band230","band231","band232","band233","band234"
407,0.082753336458599,0.0121109959471912,2.60557010424132e-05,6.54626044107141e-10,6.77890140384844e-16,2.15814263044087e-23,7.68183512116456e-33,4.52763195168277e-44,3.39555510019572e-58,2.00667363360208e-72,2.6147814639786e-88,1.91705511312618e-103,6.08182931849408e-117,2.61907077536283e-134,3.64462144792099e-153,1.79682472548548e-170,3.22849730948534e-189,6.56217131955976e-213,1.76124351585405e-233,2.84266439523489e-250,9.87658730823114e-277,2.46416276987969e-300,3.45845952088873e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0.0809689963983616,0.0186067012979212,6.73560659839692e-05,2.98554830824012e-09,5.16011606433707e-15,2.69755601969448e-22,1.63303524401288e-31,1.65164602306134e-42,2.31727369025409e-56,2.27837847798783e-70,4.95436827641273e-86,5.31286095779858e-101,2.13162030412524e-114,1.32923291031626e-131,2.69909749240051e-150,1.73718042209631e-167,4.09995974555385e-186,1.26576468857641e-209,4.40588333094246e-230,7.85993416301967e-247,3.98407205104424e-273,1.28057908558273e-296,2.2600538903362e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0.0758866101370313,0.0271515968569286,0.000164256223225333,1.27762931635513e-08,3.68016533032058e-14,3.15777380211556e-21,3.2478597161279e-30,5.63142862875319e-41,1.47495226683604e-54,2.41252312998846e-68,8.75373288489136e-84,1.3751183749863e-98,6.99796810177797e-112,6.3265512271564e-129,1.87644975980618e-147,1.57957311527168e-164,4.90514552399834e-183,2.3009220276039e-206,1.04027037887486e-226,2.05643041814292e-243,1.52142486298208e-269,6.30779142447114e-293,1.36582941386658e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0.0681278531662336,0.0376320460561239,0.000377866264075372,5.13021512671397e-08,2.45913797206301e-13,3.46187815736133e-20,6.04324353471167e-29,1.79463420605479e-39,8.75613980050797e-53,2.3823940358592e-66,1.44228275186036e-81,3.32406497298999e-96,2.1518924335508e-109,2.82387237742948e-126,1.22463744555139e-144,1.35079715220221e-161,5.52862762933749e-180,3.94179779431327e-203,2.31824390250233e-223,5.09109173687641e-240,5.50017975163239e-266,2.94497865129799e-289,7.83487560093642e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0.0585864802966224,0.0495400853459613,0.000820022133566,1.93293045069996e-07,1.53959385431868e-12,3.55437099305222e-19,1.05199592651764e-27,5.34550877246475e-38,4.84821079734577e-51,2.19407865099388e-64,2.21594840871347e-79,7.50441263825627e-94,6.19805817474131e-107,1.18204822255328e-123,7.50292063343899e-142,1.08641595596612e-158,5.87051122738471e-177,6.36400184616125e-200,4.87608956373534e-220,1.19264068022982e-236,1.88237568865418e-262,1.30322944588503e-285,4.26602665911811e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,0.0482595496727289,0.0619429854741205,0.00167874293392834,6.83355700147001e-07,9.03102716201122e-12,3.41770008828549e-18,1.71328317047143e-26,1.48818835016787e-36,2.50371210054007e-49,1.8844615523109e-62,3.17483380335343e-77,1.58227400014832e-91,1.67215767918644e-104,4.64020765338374e-121,4.31524436892495e-139,8.217840926848e-156,5.87256247778655e-174,9.68299630702946e-197,9.68018988008338e-217,2.64368743814179e-233,6.09872113960634e-259,5.46630077117118e-282,2.20480832918681e-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,0.0380787142600891,0.0735637703716793,0.0032420073008051,2.26687387581754e-06,4.96336066813698e-11,3.07769344436626e-17,2.61044993312986e-25,3.87242043131007e-35,1.20592797082042e-47,1.50945045212747e-60,4.24164640712836e-75,3.11576332475849e-89,4.22556996369912e-102,1.70825118459667e-118,2.32987521152089e-136,5.84621686284374e-153,5.53442502700387e-171,1.38845800888327e-193,1.81382645751806e-213,5.54513838167221e-230,1.87057142282621e-255,2.17320187412347e-278,1.08161806617686e-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,0.0287802419179149,0.0829797822507464,0.00590629245081678,7.05598804507894e-06,2.55577270636563e-10,2.59559533842742e-16,3.72111177849208e-24,9.41809037804378e-34,5.41741910526711e-46,1.12757888205667e-58,5.28445304997668e-73,5.73013710732092e-87,1.00018389152512e-99,5.89763835286262e-116,1.18089735879716e-133,3.91153939130415e-150,4.91372119587796e-168,1.87628690727446e-190,3.20779970333739e-210,1.10056693895158e-226,5.43141344526065e-252,8.18918202366309e-275,5.0365464124381e-297,3.45845952088873e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0.0208362595148029,0.0889031329092904,0.0101504915508893,2.0608114452383e-05,1.23303762157296e-09,2.05007064858035e-15,4.96250768658104e-23,2.14091267362189e-32,2.26985224467267e-44,7.85545773621075e-57,6.13928424015539e-71,9.84199975247506e-85,2.21748609079659e-97,1.90948670009959e-113,5.61880378074075e-131,2.46136539843529e-147,4.10999840366817e-165,2.38951224650351e-187,5.35449364491279e-207,2.06691362843017e-223,1.4929816823996e-248,2.92492601166637e-271,2.22611483645973e-293,2.122506014534e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,0.0144496799911683,0.0904686905408566,0.0164562307609113,5.6476610160268e-05,5.57362998787408e-09,1.51642482742549e-14,6.19157014608856e-22,4.54873672278715e-31,8.87026974666539e-43,5.10378710486234e-55,6.65100928205671e-69,1.57877219618587e-82,4.60498736360544e-95,5.79785340769459e-111,2.50973463977223e-128,1.45666628974964e-144,3.23866430806421e-162,2.86789196834706e-184,8.43585732944582e-204,3.6730766201465e-220,3.8850726476042e-245,9.90200523959356e-268,9.3393812368319e-290,1.19702404514312e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
